"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"1",7.75,2.75,0.5,-3.15,16.3463793767486,0.00022257,0
"2",8.38337853964779,4.35281118586188,0.5,-2.13851294595357,23.9653066441547,0.00022557,73
"3",12.357226667368,5.5,0.499700207491477,-1.86998401332672,41.9922869257705,0.00031184,82
"4",7.95445892296633,5.31326371414134,0.5,-3.1439613034191,24.2592708120092,0.00022736,86
"5",11.7158837300137,5.24836690794854,0.5,-5.8394900385051,39.9060989164917,0.00031051,94
"6",10.6780924554766,5.33448563489657,0.499970211605814,-2.3361706094282,36.72085825048,0.00030401,97
"7",9.16576477408885,5.27651462281117,0.499999115447916,-1.91761821419403,30.7141160410753,0.00025018,115
"8",10.3276618538091,5.38322049991352,0.5,-5.65930171104647,35.5044184981894,0.00029775,133
"9",8.99995764175807,4.48609850966552,0.5,-1.21196318346069,28.611784975903,0.0002299,138
"10",9.81235525710103,5.5,0.5,-3.24483574971113,33.7156734920689,0.00028531,139
"11",9.04607526252212,5.09771969429525,0.499024563944368,-4.07869639849931,29.6207683948025,0.00024009,148
"12",7.3543572419226,3.9140904132955,0.5,-1.37628445090876,17.3131771462583,0.00022542,153
"13",9.8600565744093,4.68392470980632,0.5,-2.56110756131381,32.8953472584961,0.00025365,156
"14",11.8795534151204,5.5,0.5,-7,40.404903810349,0.00031109,172
"15",10.0839810979124,5.5,0.5,-4.46474231300012,34.7083648892363,0.00029434,178
"16",11.3284486181882,5.4999088386311,0.499929752630679,-4.83898527609962,38.7344620111264,0.00031016,188
"17",4.27348150312901,5.31957778334618,0.194773226976395,-1.96683751046658,10.9154323862534,0.00014525,208
"18",5.73732622850316,3.99273262394946,-0.0377143357364987,-2.58231415709613,10.8275278826722,0.00011697,235
"19",4.75981570780277,5.34472222626209,0.448082879185677,-5.98367767035961,11.7124182339599,0.00020443,239
"20",6.47030603730421,2.64250537134383,-0.658209001999995,-5.83568309220528,10.4433077119142,6.0204e-05,245
"21",3.51649339497089,5.34726430475712,-1.16417866945267,-1.98681616783142,8.78201939825286,3.7669e-05,251
"22",5.88942818037019,3.19511184157719,-1.25322102658331,-2.2423039586345,10.0225275637912,4.2989e-05,252
"23",6.03375045740893,3.14893723267499,-0.219278615972587,-4.79150304055374,10.6194022212315,8.4702e-05,270
"24",5.9798895418644,5.04889589548111,0.465541958808899,-3.37763287127018,13.9377196677721,0.00021578,274
