"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order","typ"
"1",7.75,2.75,0.5,-3.15,16.3463793767486,0.00022257,0,"+Acid"
"2",8.38337853964779,4.35281118586188,0.5,-2.13851294595357,23.9653066441547,0.00022557,73,"+Acid"
"3",12.357226667368,5.5,0.499700207491477,-1.86998401332672,41.9922869257705,0.00031184,82,"+Acid"
"4",7.95445892296633,5.31326371414134,0.5,-3.1439613034191,24.2592708120092,0.00022736,86,"+Acid"
"5",11.7158837300137,5.24836690794854,0.5,-5.8394900385051,39.9060989164917,0.00031051,94,"+Acid"
"6",10.6780924554766,5.33448563489657,0.499970211605814,-2.3361706094282,36.72085825048,0.00030401,97,"+Acid"
"7",9.16576477408885,5.27651462281117,0.499999115447916,-1.91761821419403,30.7141160410753,0.00025018,115,"+Acid"
"8",10.3276618538091,5.38322049991352,0.5,-5.65930171104647,35.5044184981894,0.00029775,133,"+Acid"
"9",8.99995764175807,4.48609850966552,0.5,-1.21196318346069,28.611784975903,0.0002299,138,"+Acid"
"10",9.81235525710103,5.5,0.5,-3.24483574971113,33.7156734920689,0.00028531,139,"+Acid"
"11",9.04607526252212,5.09771969429525,0.499024563944368,-4.07869639849931,29.6207683948025,0.00024009,148,"+Acid"
"12",7.3543572419226,3.9140904132955,0.5,-1.37628445090876,17.3131771462583,0.00022542,153,"+Acid"
"13",9.8600565744093,4.68392470980632,0.5,-2.56110756131381,32.8953472584961,0.00025365,156,"+Acid"
"14",11.8795534151204,5.5,0.5,-7,40.404903810349,0.00031109,172,"+Acid"
"15",10.0839810979124,5.5,0.5,-4.46474231300012,34.7083648892363,0.00029434,178,"+Acid"
"16",11.3284486181882,5.4999088386311,0.499929752630679,-4.83898527609962,38.7344620111264,0.00031016,188,"+Acid"
"17",4.27348150312901,5.31957778334618,0.194773226976395,-1.96683751046658,10.9154323862534,0.00014525,208,"+Acid"
"18",5.73732622850316,3.99273262394946,-0.0377143357364987,-2.58231415709613,10.8275278826722,0.00011697,235,"+Acid"
"19",4.75981570780277,5.34472222626209,0.448082879185677,-5.98367767035961,11.7124182339599,0.00020443,239,"+Acid"
"20",3.51649339497089,5.34726430475712,-1.16417866945267,-1.98681616783142,8.78201939825286,3.7669e-05,251,"+Acid"
"21",6.03375045740893,3.14893723267499,-0.219278615972587,-4.79150304055374,10.6194022212315,8.4702e-05,270,"+Acid"
"22",5.9798895418644,5.04889589548111,0.465541958808899,-3.37763287127018,13.9377196677721,0.00021578,274,"+Acid"
"23",7.75,2.75,0.5,-3.15,16.3385293141826,0.00022249,0,"+Base"
"24",5.124958981871,4.65904304169314,-0.704891552121233,0.39721784987487,7.97700132634477,3.0411e-05,206,"+Base"
"25",5.77902701276323,3.3358834214484,-0.430154041687,-1.2900202886007,9.71687292184397,6.4595e-05,239,"+Base"
"26",3.47679218649864,5.28968612849712,-0.905685052275658,-1.46076102554798,8.61173532663507,3.7197e-05,246,"+Base"
"27",4.36978981279519,5.10647295404864,-0.901102826930447,-6.83374770064997,9.34941295228964,5.8665e-05,256,"+Base"
"28",4.86861558258533,4.74169628322124,-0.940626099705696,-4.07657012343407,9.70245822446732,5.8802e-05,285,"+Base"
"29",4.93275106827887,5.22643857430995,-0.130060489768093,0.0433778766775506,10.7429848945644,0.00010932,347,"+Base"
