"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"6",7.75,2.75,0.5,-3.15,16.3385293141826,0.00022249,0
"16",13.5,5.5,0.5,-7,45.0304589872741,0.00030867,0
"258",5.124958981871,4.65904304169314,-0.704891552121233,0.39721784987487,7.97700132634477,3.0411e-05,206
"266",5.64819402551351,5.40874385106475,0.261509063593433,-2.90807263456991,13.4840250075635,0.00017083,214
"274",11.7410395061597,4.28093029919546,0.489112355979159,-6.49876133622602,39.8167930942426,0.00030022,222
"291",5.77902701276323,3.3358834214484,-0.430154041687,-1.2900202886007,9.71687292184397,6.4595e-05,239
"298",3.47679218649864,5.28968612849712,-0.905685052275658,-1.46076102554798,8.61173532663507,3.7197e-05,246
"300",7.00355715651923,5.35021537230725,0.48375829658471,0.461534040335552,11.3742119384077,0.00012598,248
"308",4.36978981279519,5.10647295404864,-0.901102826930447,-6.83374770064997,9.34941295228964,5.8665e-05,256
"318",9.98524248422241,5.32870203209363,0.431352323504733,-2.62798631127092,33.8782012132353,0.00026571,266
"330",9.38756229372606,1.83303504673889,0.496496497187763,-6.08998018738847,22.4734850301114,0.00022275,278
"337",4.86861558258533,4.74169628322124,-0.940626099705696,-4.07657012343407,9.70245822446732,5.8802e-05,285
"x146",4.93275106827887,5.22643857430995,-0.130060489768093,0.0433778766775506,10.7429848945644,0.00010932,347
