"A","Na.shift","k1","k2","beta1","Na","beta2","dist","pCO2.lean","it.num","DIC.diff","Energy.sep","DIC.flux","dist.perc"
1.88139539530738,0.00188361586254999,7.72280398437974e-05,1.12118198110998e-10,0,-0.0199736162310127,0,0,0.000549682637255834,3,2.65413672070081,11.1697049152239,0.00016773,0.0025
1.9734279417522,-0.0028377739268962,6.64032475691785e-05,7.83025289592091e-11,0,-0.0302679916316154,0,0,0.000323979530727466,3,2.93655516795064,11.3607603753502,0.00017438,0.005
1.95773962976037,-0.0108099293161938,0.000101509624590007,5.74647255816216e-15,0,-0.0456347723892256,0,0,1.15839844473859e-11,3,3.47258507932385,21.597393223568,0.00019713,0.0075
1.97546503465735,-0.0331945126769579,9.30907994424105e-05,1.92803152042941e-10,0,-0.0902679120690372,0,0,0.000416489480524405,3,2.44492564672836,11.3017419231447,0.00017359,0.01
0.1,0.1,1e-04,1e-09,0,0.00875,0,0,0.00411690691038739,0,0.135204085071604,8.55838027263724,4.3924e-05,0.0125
0.626074230581458,-0.029394537200415,3.19691380376211e-05,1.83994243196681e-09,0,-0.0262290901433161,0,0.000146315148692432,0.0045678867499253,2,0.490840303712127,10.9865024167459,7.2378e-05,0.015
1.74852905913722,-0.00246904594823719,7.20923663925297e-05,4.30419134201582e-14,0,-0.026173811828053,0,0.000623395573187798,3.30708028879487e-10,0,3.11360473468282,19.4606581561375,0.0001717,0.0175
0.845114090644259,-0.00722083576695119,6.56561099144225e-06,1.4184588875944e-09,0,-0.0166663561859317,0,0.000879514666647996,0.00525067143159456,2,0.650204076117575,11.3530819239983,7.7218e-05,0.02
0.315873562642576,-0.00891683704983076,6.37015264587534e-06,1.47822607054779e-09,0,-0.00676501261946557,0,0.00129782894316588,0.00426461650899303,3,0.346031814123221,9.64358712795519,5.7349e-05,0.0225
0.209160413107267,0.0546829236197856,1.96946322635897e-05,7.36331220710123e-10,0,0.00882299773038663,0,0.00155347569958806,0.00274880142480574,3,0.293599972570599,8.91528614545823,5.7818e-05,0.025
0.1,0,1e-04,1e-09,0,-0.00125,0,0.00181844878977315,0.00324558589025301,0,0.136420157642885,8.77758370515513,4.7444e-05,0.0275
1.59190253005483,0.0694357567241292,7.38891655299211e-07,1.45060926798282e-13,0,0.0906361751797277,0,0.00205251284738889,8.10311716121136e-09,2,2.83319605241362,18.362792740888,0.00016019,0.03
1.58504861695412,0.0257367956376676,6.93391377211449e-05,1.23012524414067e-10,0,0.0209809646183893,0,0.00208452821111865,0.000778226008304858,2,2.26577190999893,10.9160141099266,0.00015164,0.0325
1.57837559032823,-0.0122308184655855,5.0345655812632e-05,1.73934288148072e-10,0,-0.0390345201949188,0,0.00242621293913004,0.000647219372940789,3,2.11497981136834,10.9564234982831,0.00015289,0.035
1.91625871376177,-0.0173698061224709,1.33337899241213e-05,1.06116913132797e-10,0,-0.0572382762605596,0,0.00252809177163419,0.000341242261191323,3,2.73038429582089,11.3647212965106,0.00017177,0.0375
1.64201730644386,-0.0334015604666024,6.57203126724104e-05,1.35225586157533e-10,0,-0.0753711566789407,0,0.00274733416960966,0.000260481628616341,3,2.31126162952411,11.1223291538715,0.00016013,0.04
1.63371010006331,0.0261893485660979,4.44365791892057e-05,1.75813275525896e-10,0,0.0223644270157215,0,0.00284337973738536,0.00123478373654108,3,2.14833330308334,10.8923658842046,0.00014904,0.0425
0.909894221103248,0.0733117949879059,1.27088805514868e-08,8.81983390936178e-11,0,0.055332300834411,0,0.00295476485817894,0.00053669803869659,2,1.48000180552832,14.9798033994855,0.00011784,0.045
0.192236062535085,-0.0192066273652017,4.55113999084328e-06,1.45772007999266e-09,0,-0.00609515720095355,0,0.00297929326558042,0.00395154736524628,1,0.235958741013854,9.29441542146648,5.1025e-05,0.0475
1.73991817359664,0.0102772612153206,1.22256390264829e-09,1.15049737264906e-10,0,-0.00386738360662176,0,0.00310011338931943,0.000616032705859025,2,2.57804565885251,18.2858540315684,0.00015661,0.05
2,0,1e-04,1e-14,0,-0.025,0,0.00324925074407995,3.18232964987018e-11,0,3.54205925589644,21.0614292342433,0.00019252,0.0525
0.183444433097146,0.0297760308686949,2.36462254700225e-05,5.05223921831235e-10,0,0.00316919168887655,0,0.00346357066055364,0.00165479516494379,3,0.27576806855533,9.05846525799524,6.0884e-05,0.055
1.79972159778048,-0.00210877174604614,1.26321940496857e-05,1.0119539961947e-10,0,-0.0262917220284045,0,0.00354605317171715,0.000435473906304718,3,2.61157601932718,11.2661032641596,0.00016539,0.0575
1.41327548952666,0.0381211097950177,3.59012069755307e-05,1.2323095038882e-10,0,0.03620968648777,0,0.00369856444036945,0.000825561177814379,3,2.06055652269214,10.7973785661554,0.00014287,0.06
1.3047867886129,0.0326611826441211,0.00010984214546681,1.83486806864321e-10,0,0.0263060447568609,0,0.00370360745535039,0.00119257720191743,3,1.78920650469928,10.6098664393605,0.00013397,0.0625
1.95777231117245,0.0687531101517379,3.01572688496139e-05,5.13316286543596e-11,0,0.110130781472406,0,0.00375127478397568,0.000445061039854174,1,3.05455588479348,11.4134569860164,0.0001717,0.065
1.43736999858507,-0.00922837241449825,8.35181773927667e-05,2.27936614900704e-10,0,-0.0312317106266833,0,0.00380405949089336,0.000902384079276324,3,1.84310532047543,10.8145809019361,0.00014348,0.0675
1.48336313998051,0.0597033369453333,1.5964489197063e-05,1.14704275954002e-10,0,0.0700196901087876,0,0.00413213388011785,0.000960262868177272,2,2.16347010033168,10.8559073079336,0.0001448,0.07
