"import","var","typ","sd","r.import","r.sd","method"
0.216947304421557,"x1","Pareto Distance",0.00839625330042699,0.0669299015282997,0.00259030831520395,"Marginalization"
3.24141078154471,"x2","Pareto Distance",0.0205705738934985,1,0.00634617926571328,"Marginalization"
3.056218577961,"x3","Pareto Distance",0.0203998642609848,0.942866789782363,0.0062935140393601,"Marginalization"
0.972051783025976,"x1","Threshold Cutoff",0.0164297691772787,0.402012514800198,0.00679487753623935,"Marginalization"
2.41219345703274,"x2","Threshold Cutoff",0.0224079658915917,0.997613475722005,0.00926728686366199,"Marginalization"
2.41796398679053,"x3","Threshold Cutoff",0.0224403713130234,1,0.009280688809104,"Marginalization"
0.478895835882769,"x1","Utopia Distance",0.00819269583031944,0.171674201244405,0.00293691113458075,"Marginalization"
2.78956204491661,"x2","Utopia Distance",0.0159114358463993,1,0.00570391896297648,"Marginalization"
2.75348283532475,"x3","Utopia Distance",0.0158267089959336,0.987066353423609,0.00567354614849826,"Marginalization"
-0.00039943750337472,"x1","Pareto Distance",0.00844671074408981,-1.53977148243396,32.560799159404,"Shapley Value"
0.000259413496048984,"x2","Pareto Distance",0.00677223575780727,1,26.1059500024181,"Shapley Value"
-0.000667621307672009,"x3","Pareto Distance",0.0079827833439694,-2.57357970128873,30.7724288271495,"Shapley Value"
0.000260499851950026,"x1","Threshold Cutoff",0.008555892023335,0.197132973950043,6.4746617962725,"Shapley Value"
0.00132144230734348,"x2","Threshold Cutoff",0.00780051445070456,1,5.90303065624264,"Shapley Value"
-0.00106103560886325,"x3","Threshold Cutoff",0.00890268259210836,-0.802937519834875,6.73709517444285,"Shapley Value"
-0.000692451742480368,"x1","Utopia Distance",0.00551311121370668,1,-7.96172624818398,"Shapley Value"
-0.000697459774077426,"x2","Utopia Distance",0.00477830364767121,1.00723231857157,-6.90055834151748,"Shapley Value"
-0.00175744617708468,"x3","Utopia Distance",0.00526418003781283,2.53800527786889,-7.60223379459844,"Shapley Value"
0.0451634404705017,"x1","Pareto Distance",0.0037557728279159,1,0.0831595819270892,"Sobol Total Effect"
0.0351691269380647,"x2","Pareto Distance",0.00319214173217363,0.778707879020758,0.0706797732617062,"Sobol Total Effect"
0.0355462044390242,"x3","Pareto Distance",0.00330806057520722,0.787057054748542,0.0732464254437804,"Sobol Total Effect"
0.0709697770186289,"x1","Threshold Cutoff",0.00360618743356916,1,0.0508130021688326,"Sobol Total Effect"
0.0614975325384233,"x2","Threshold Cutoff",0.0039889742112222,0.866531291514144,0.0562066611844522,"Sobol Total Effect"
0.0604838076548881,"x3","Threshold Cutoff",0.00373768003228541,0.852247395944497,0.0526657992923425,"Sobol Total Effect"
0.025248192378767,"x1","Utopia Distance",0.00255426315880577,1,0.101166179363946,"Sobol Total Effect"
0.0219116510522072,"x2","Utopia Distance",0.00263153253051255,0.867850288982836,0.104226571591145,"Sobol Total Effect"
0.0215903419868306,"x3","Utopia Distance",0.00252039930925695,0.855124266440059,0.0998249407896835,"Sobol Total Effect"
