adapt,class,typ,n,unc.min,unc.med,unc.max,ptl,adapt.n,unc.min.n,unc.med.n,unc.max.n
0.088174011281957,Pareto Distance,Total,0,0.088174011281957,0.088174011281957,0.088174011281957,NA,1,1,1,1
0.564517072177643,Pareto Distance,False Positive,0,0.564517072177643,0.564517072177643,0.564517072177643,NA,1,1,1,1
0.003092734440004,Pareto Distance,False Negative,0,0.003092734440004,0.003092734440004,0.003092734440004,NA,1,1,1,1
0.106313526597677,Threshold Cutoff,Total,0,0.106313526597677,0.106313526597677,0.106313526597677,NA,1,1,1,1
0.502707182534868,Threshold Cutoff,False Positive,0,0.502707182534868,0.502707182534868,0.502707182534868,NA,1,1,1,1
0.004796216771473,Threshold Cutoff,False Negative,0,0.004796216771473,0.004796216771473,0.004796216771473,NA,1,1,1,1
0.051229210018681,Utopia Distance,Total,0,0.051229210018681,0.051229210018681,0.051229210018681,NA,1,1,1,1
0.665926635280529,Utopia Distance,False Positive,0,0.665926635280529,0.665926635280529,0.665926635280529,NA,1,1,1,1
0.000470753370696,Utopia Distance,False Negative,0,0.000470753370696,0.000470753370696,0.000470753370696,NA,1,1,1,1
0.07720026119626,Pareto Distance,Total,3,0.079051402044695,0.094761836358096,0.114889227330101,0.988,0.875544393113676,0.896538570666925,1.07471390923877,1.30298288191421
0.571047698158385,Pareto Distance,False Positive,3,0.571459958931869,0.664560460057888,0.740463352918201,0.975,1.01156851812391,1.01229880741683,1.17721941959049,1.31167574801917
0.002161388608649,Pareto Distance,False Negative,3,0.000167878453691,0.000946165494926,0.002591831298322,0.071,0.698860070458022,0.054281561171156,0.305931696781688,0.838038748104685
0.098206883009471,Threshold Cutoff,Total,3,0.108828410025806,0.132798835753503,0.192345702809807,0.999,0.923747769003238,1.02365534761767,1.24912454702076,1.80923076268273
0.482713151426874,Threshold Cutoff,False Positive,3,0.575337030173648,0.680384582685334,0.797806212301426,1,0.960227281800162,1.14447744166405,1.35344114093325,1.58701972046339
0.004287242600939,Threshold Cutoff,False Negative,3,0.000642971044294,0.001990436209466,0.005079248076772,0.061,0.893880073652855,0.134057961708106,0.41500130296547,1.05901136641331
0.038494341262086,Utopia Distance,Total,3,0.053955764976367,0.067325042809766,0.091473431684166,1,0.751413914992029,1.05322266255312,1.31419248481905,1.78557177928003
0.539301802252263,Utopia Distance,False Positive,3,0.615262208542904,0.738410703541168,0.844835398894727,0.999,0.809851676866891,0.923918906297715,1.10884692760503,1.26866137219279
0.000558366453046,Utopia Distance,False Negative,3,1.80472261925678E-05,0.000291117496888,0.001028712932797,0.195,1.18611249075106,0.038336902752027,0.618407673761429,2.18524815079974
0.067018916504833,Pareto Distance,Total,6,0.07685124670279,0.094763213372567,0.118005771031068,0.999,0.760075622402206,0.871586146365054,1.0747295262494,1.3383282592613
0.474700126783243,Pareto Distance,False Positive,6,0.563825558612088,0.664887101787747,0.744573653861551,1,0.840895962547372,0.998775035159013,1.17779804111667,1.31895684038276
0.002008480481996,Pareto Distance,False Negative,6,0.000156073399135,0.00093178985399,0.00258955798008,0.093,0.649418991820401,0.050464532976358,0.301283499138224,0.837303696878844
0.084885208230175,Threshold Cutoff,Total,6,0.106657305851215,0.133663851702534,0.190595460115613,1,0.798442220352695,1.00323363606249,1.25726100883059,1.79276773346899
0.502164010760766,Threshold Cutoff,False Positive,6,0.573296327267319,0.679237582960499,0.793924203506172,0.999,0.998919506637317,1.14041801506895,1.35115949514683,1.57929751371934
0.002742121448245,Threshold Cutoff,False Negative,6,0.000605198746547,0.001933207581628,0.004613439196288,0.257,0.571725920428454,0.126182525807893,0.403069267662522,0.961891302271485
0.036200950033149,Utopia Distance,Total,6,0.052014466517555,0.069378943587726,0.096307495247722,1,0.706646657638252,1.01532829607538,1.3542848613599,1.87993324926548
0.500242184277929,Utopia Distance,False Positive,6,0.615617378455634,0.745135041518416,0.851174097143569,1,0.751197140608735,0.924452253206989,1.11894464351095,1.27817998567515
0.000519936681445,Utopia Distance,False Negative,6,9.15476757956252E-06,0.000302811510879,0.001021892124942,0.233,1.10447787272625,0.01944705688676,0.643248736448124,2.17075901852911
0.067505627297056,Pareto Distance,Total,9,0.074164325819858,0.094256508266135,0.117562848073997,0.998,0.765595511824798,0.841113211722899,1.06898287710568,1.3333049768833
0.530309871076478,Pareto Distance,False Positive,9,0.559942773313477,0.657161809811884,0.742681539030106,0.996,0.939404487858605,0.991896969835615,1.16411326105136,1.31560509970972
0.001498889543052,Pareto Distance,False Negative,9,0.000159480987762,0.000975573622826,0.00257469525509,0.231,0.484648640912673,0.051566337445353,0.315440475654001,0.832498006226054
0.087516843954118,Threshold Cutoff,Total,9,0.107506772977625,0.133009347513861,0.18321429812454,1,0.823195756503388,1.0112238434575,1.2511046502785,1.72333948452183
0.448814061151052,Threshold Cutoff,False Positive,9,0.565029568218185,0.674248173938856,0.786410882522744,1,0.892794208525003,1.12397353339783,1.34123441511021,1.56435179333885
0.004099657738709,Threshold Cutoff,False Negative,9,0.000644025576311,0.001912098399592,0.004672916890861,0.048,0.854769067798049,0.13427782917195,0.398668052487636,0.974292262738209
0.032931648408226,Utopia Distance,Total,9,0.053579354257657,0.069550573397087,0.100145774242748,1,0.64282951847622,1.04587508255777,1.35763509473845,1.95485689133661
0.561056669423231,Utopia Distance,False Positive,9,0.614922367571741,0.742624690157279,0.84446927660219,0.996,0.842520241267838,0.923408578352926,1.11517493191189,1.26811157845706
