"","x","var","prob","mod","class","cat"
"83",0.027027027027027,"x1",1,"pol","Threshold Cutoff","paret"
"84",0.027027027027027,"x1",1,"sig","Threshold Cutoff","paret"
"85",0.027027027027027,"x2",0.549333333333333,"rad","Pareto Distance","paret"
"86",0.027027027027027,"x2",0.734666666666667,"lin","Pareto Distance","paret"
"87",0.027027027027027,"x2",1,"pol","Pareto Distance","paret"
"88",0.027027027027027,"x2",1,"sig","Pareto Distance","paret"
"89",0.027027027027027,"x2",0.247333333333333,"rad","Utopia Distance","paret"
"90",0.027027027027027,"x2",0.239333333333333,"lin","Utopia Distance","paret"
"91",0.027027027027027,"x2",0,"pol","Utopia Distance","paret"
"92",0.027027027027027,"x2",0.004,"sig","Utopia Distance","paret"
"93",0.027027027027027,"x2",0.546,"rad","Threshold Cutoff","paret"
"94",0.027027027027027,"x2",0.795333333333333,"lin","Threshold Cutoff","paret"
"95",0.027027027027027,"x2",1,"pol","Threshold Cutoff","paret"
"96",0.027027027027027,"x2",1,"sig","Threshold Cutoff","paret"
"97",0.027027027027027,"x3",0.438,"rad","Pareto Distance","paret"
"98",0.027027027027027,"x3",0.564666666666667,"lin","Pareto Distance","paret"
"99",0.027027027027027,"x3",1,"pol","Pareto Distance","paret"
"100",0.027027027027027,"x3",1,"sig","Pareto Distance","paret"
"101",0.027027027027027,"x3",0,"rad","Utopia Distance","paret"
"102",0.027027027027027,"x3",0,"lin","Utopia Distance","paret"
"103",0.027027027027027,"x3",0,"pol","Utopia Distance","paret"
"104",0.027027027027027,"x3",0,"sig","Utopia Distance","paret"
"105",0.027027027027027,"x3",0.416666666666667,"rad","Threshold Cutoff","paret"
"106",0.027027027027027,"x3",0.513333333333333,"lin","Threshold Cutoff","paret"
"107",0.027027027027027,"x3",1,"pol","Threshold Cutoff","paret"
"108",0.027027027027027,"x3",1,"sig","Threshold Cutoff","paret"
"109",0.0405405405405405,"x1",0.342,"rad","Pareto Distance","paret"
"110",0.0405405405405405,"x1",0.644,"lin","Pareto Distance","paret"
"111",0.0405405405405405,"x1",1,"pol","Pareto Distance","paret"
"112",0.0405405405405405,"x1",1,"sig","Pareto Distance","paret"
"113",0.0405405405405405,"x1",0.772666666666667,"rad","Utopia Distance","paret"
"114",0.0405405405405405,"x1",0.481333333333333,"lin","Utopia Distance","paret"
"115",0.0405405405405405,"x1",0,"pol","Utopia Distance","paret"
"116",0.0405405405405405,"x1",0.00666666666666667,"sig","Utopia Distance","paret"
"117",0.0405405405405405,"x1",0.359333333333333,"rad","Threshold Cutoff","paret"
"118",0.0405405405405405,"x1",0.566,"lin","Threshold Cutoff","paret"
"119",0.0405405405405405,"x1",1,"pol","Threshold Cutoff","paret"
"120",0.0405405405405405,"x1",1,"sig","Threshold Cutoff","paret"
"121",0.0405405405405405,"x2",0.596666666666667,"rad","Pareto Distance","paret"
"122",0.0405405405405405,"x2",0.762666666666667,"lin","Pareto Distance","paret"
"123",0.0405405405405405,"x2",1,"pol","Pareto Distance","paret"
"124",0.0405405405405405,"x2",1,"sig","Pareto Distance","paret"
"125",0.0405405405405405,"x2",0.274666666666667,"rad","Utopia Distance","paret"
"126",0.0405405405405405,"x2",0.242,"lin","Utopia Distance","paret"
"127",0.0405405405405405,"x2",0,"pol","Utopia Distance","paret"
"128",0.0405405405405405,"x2",0.012,"sig","Utopia Distance","paret"
"129",0.0405405405405405,"x2",0.597333333333333,"rad","Threshold Cutoff","paret"
"130",0.0405405405405405,"x2",0.82,"lin","Threshold Cutoff","paret"
"131",0.0405405405405405,"x2",1,"pol","Threshold Cutoff","paret"
"132",0.0405405405405405,"x2",1,"sig","Threshold Cutoff","paret"
"133",0.0405405405405405,"x3",0.441333333333333,"rad","Pareto Distance","paret"
"134",0.0405405405405405,"x3",0.555333333333333,"lin","Pareto Distance","paret"
"135",0.0405405405405405,"x3",1,"pol","Pareto Distance","paret"
"136",0.0405405405405405,"x3",1,"sig","Pareto Distance","paret"
"137",0.0405405405405405,"x3",0,"rad","Utopia Distance","paret"
"138",0.0405405405405405,"x3",0,"lin","Utopia Distance","paret"
"139",0.0405405405405405,"x3",0,"pol","Utopia Distance","paret"
"140",0.0405405405405405,"x3",0,"sig","Utopia Distance","paret"
"141",0.0405405405405405,"x3",0.422666666666667,"rad","Threshold Cutoff","paret"
"142",0.0405405405405405,"x3",0.501333333333333,"lin","Threshold Cutoff","paret"
"143",0.0405405405405405,"x3",1,"pol","Threshold Cutoff","paret"
"144",0.0405405405405405,"x3",1,"sig","Threshold Cutoff","paret"
"145",0.0540540540540541,"x1",0.352666666666667,"rad","Pareto Distance","paret"
"146",0.0540540540540541,"x1",0.65,"lin","Pareto Distance","paret"
"147",0.0540540540540541,"x1",1,"pol","Pareto Distance","paret"
"148",0.0540540540540541,"x1",1,"sig","Pareto Distance","paret"
"149",0.0540540540540541,"x1",0.773333333333333,"rad","Utopia Distance","paret"
"150",0.0540540540540541,"x1",0.456666666666667,"lin","Utopia Distance","paret"
"151",0.0540540540540541,"x1",0,"pol","Utopia Distance","paret"
"152",0.0540540540540541,"x1",0.00466666666666667,"sig","Utopia Distance","paret"
"153",0.0540540540540541,"x1",0.367333333333333,"rad","Threshold Cutoff","paret"
"154",0.0540540540540541,"x1",0.556666666666667,"lin","Threshold Cutoff","paret"
"155",0.0540540540540541,"x1",1,"pol","Threshold Cutoff","paret"
"156",0.0540540540540541,"x1",1,"sig","Threshold Cutoff","paret"
"157",0.0540540540540541,"x2",0.582,"rad","Pareto Distance","paret"
"158",0.0540540540540541,"x2",0.747333333333333,"lin","Pareto Distance","paret"
"159",0.0540540540540541,"x2",1,"pol","Pareto Distance","paret"
"160",0.0540540540540541,"x2",1,"sig","Pareto Distance","paret"
"161",0.0540540540540541,"x2",0.256666666666667,"rad","Utopia Distance","paret"
"162",0.0540540540540541,"x2",0.218,"lin","Utopia Distance","paret"
"163",0.0540540540540541,"x2",0,"pol","Utopia Distance","paret"
"164",0.0540540540540541,"x2",0.004,"sig","Utopia Distance","paret"
"165",0.0540540540540541,"x2",0.582,"rad","Threshold Cutoff","paret"
"166",0.0540540540540541,"x2",0.806666666666667,"lin","Threshold Cutoff","paret"
"167",0.0540540540540541,"x2",1,"pol","Threshold Cutoff","paret"
"168",0.0540540540540541,"x2",1,"sig","Threshold Cutoff","paret"
"169",0.0540540540540541,"x3",0.48,"rad","Pareto Distance","paret"
"170",0.0540540540540541,"x3",0.601333333333333,"lin","Pareto Distance","paret"
"171",0.0540540540540541,"x3",1,"pol","Pareto Distance","paret"
"172",0.0540540540540541,"x3",1,"sig","Pareto Distance","paret"
"173",0.0540540540540541,"x3",0,"rad","Utopia Distance","paret"
"174",0.0540540540540541,"x3",0,"lin","Utopia Distance","paret"
"175",0.0540540540540541,"x3",0,"pol","Utopia Distance","paret"
"176",0.0540540540540541,"x3",0,"sig","Utopia Distance","paret"
"177",0.0540540540540541,"x3",0.455333333333333,"rad","Threshold Cutoff","paret"
"178",0.0540540540540541,"x3",0.536666666666667,"lin","Threshold Cutoff","paret"
"179",0.0540540540540541,"x3",1,"pol","Threshold Cutoff","paret"
"180",0.0540540540540541,"x3",1,"sig","Threshold Cutoff","paret"
"181",0.0675675675675676,"x1",0.406,"rad","Pareto Distance","paret"
"182",0.0675675675675676,"x1",0.668666666666667,"lin","Pareto Distance","paret"
