"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s"
"205",8.24170155293119,3.14686803415634,-1.50215868903047,-5.91227700241476,1.30729137621445,-0.0053337
"206",5.9388373708649,3.90235524098764,-1.37425982660482,-6.31349269108168,1.071852963097,-0.0054426
"207",10.8346753783529,5.5,-0.999834784208533,-3.95384614657493,1.48135711817313,-0.0065498
"208",12.1749225650715,3.0647760640488,-1.25627136304939,-4.72056282574147,1.47094065677656,-0.0056081
"209",12.2522579014271,5.5,0.150737160155956,-6.00902465811691,1.5954451716661,-0.020723
"210",12.2052993123164,4.38093889057262,0.0153631643303465,-7,1.58604368831229,-0.017656
"211",7.47431141129465,4.45206691975803,-0.773789190091285,-6.1256762556351,1.26691206682328,-0.0066658
"212",12.8197483234846,2.38213675081922,-0.808356890749107,0.447869885263488,1.2411404758597,-0.0050878
"213",11.8336880217244,4.18093587820283,-0.237409946918033,-3.31148611621244,1.56081850613029,-0.013177
"214",6.07183237268115,5.5,-1.29010915148692,-3.5384775949345,1.16924090123145,-0.005523
"215",7.21135701303432,4.96871568632372,-0.313242705513493,-3.98530271655871,1.26842284081913,-0.009348
"216",9.65376521491323,5.5,-1.9998629329282,-4.17204635560218,2.33266250160039,0.0099282
"217",10.3956130955526,4.75743668739654,-0.9861645251426,-4.69718736383844,1.46754885803253,-0.006595
"218",8.25169798379076,4.05286955466031,-1.38678204745095,-4.19731699099524,1.3143736590595,-0.0054165
"219",7.26972838160523,4.31526848947509,-1.33281481291853,-4.7968197346887,1.24146580313465,-0.0054753
"220",9.79778755601389,2.95713132093977,-1.45765072238744,-7,1.3794340815442,-0.0053378
"221",12.8737413215692,3.92755055308837,-0.852600434770429,0.110709023556787,1.34083356982921,-0.0051762
"222",10.023883585957,2.21816979676697,-1.48835908387627,-6.04879571577079,1.38121596831034,-0.0052917
"223",12.2420412698593,5.5,-0.670368139117796,-2.75633196400504,1.5480855980383,-0.0083981
"224",12.7602566786283,5.5,-1.04437807422138,-5.66920537431715,1.52011195267583,-0.0061625
"225",12.634974492349,3.98105552938646,-2,-7,2.33213046312948,0.0099342
"226",11.284254167597,3.42176844146921,-1.46857960221256,-5.37510381134613,1.4014663506675,-0.0051808
"227",5.2642032216712,5.5,-1.74982086876769,-4.39426329857934,1.37346378240729,-0.004326
"228",8.65749588037856,3.33144273836484,-2,-7,2.33192385696262,0.009935
"229",11.4060943924783,4.53779721788017,-0.696838831776869,-6.2197824648115,1.52220211155031,-0.0082405
"230",12.2609395317106,3.20893539461611,-0.116175492371941,-5.38062360367553,1.57970812712367,-0.014873
"231",8.12245337007367,3.91478957480675,-0.813399883102155,-6.99999999769113,1.31121376932438,-0.0065337
