"","x","var","prob","method","psd","cat"
"74",1.83673469387755,"x1",0.813,"SVM-rad",0.00871868682772813,"start"
"75",1.83673469387755,"x2",0.415,"SVM-pol",0.0110175995570723,"start"
"76",1.83673469387755,"x2",0.461,"SVM-rad",0.0111462774054839,"start"
"77",1.93877551020408,"x1",0.808,"SVM-pol",0.00880726972449465,"start"
"78",1.93877551020408,"x1",0.827,"SVM-rad",0.00845786616115436,"start"
"79",1.93877551020408,"x2",0.437,"SVM-pol",0.0110912352783628,"start"
"80",1.93877551020408,"x2",0.4675,"SVM-rad",0.0111566964196396,"start"
"81",2.04081632653061,"x1",0.7575,"SVM-pol",0.00958367753005077,"start"
"82",2.04081632653061,"x1",0.77,"SVM-rad",0.00941010095588777,"start"
"83",2.04081632653061,"x2",0.434,"SVM-pol",0.0110825087412553,"start"
"84",2.04081632653061,"x2",0.4415,"SVM-rad",0.0111035523594929,"start"
"85",2.14285714285714,"x1",0.7355,"SVM-pol",0.00986254911267873,"start"
"86",2.14285714285714,"x1",0.672,"SVM-rad",0.0104979998094875,"start"
"87",2.14285714285714,"x2",0.445,"SVM-pol",0.0111124929696266,"start"
"88",2.14285714285714,"x2",0.445,"SVM-rad",0.0111124929696266,"start"
"89",2.24489795918367,"x1",0.6735,"SVM-pol",0.0104856509096956,"start"
"90",2.24489795918367,"x1",0.529,"SVM-rad",0.0111615187138669,"start"
"91",2.24489795918367,"x2",0.455,"SVM-pol",0.0111349674449457,"start"
"92",2.24489795918367,"x2",0.4285,"SVM-rad",0.0110654360510556,"start"
"93",2.3469387755102,"x1",0.637,"SVM-pol",0.0107524648337021,"start"
"94",2.3469387755102,"x1",0.479,"SVM-rad",0.011170474475151,"start"
"95",2.3469387755102,"x2",0.4475,"SVM-pol",0.0111185374487835,"start"
"96",2.3469387755102,"x2",0.396,"SVM-rad",0.0109358127269993,"start"
"97",2.44897959183673,"x1",0.4585,"SVM-pol",0.0111417626522916,"start"
"98",2.44897959183673,"x1",0.407,"SVM-rad",0.0109852400975127,"start"
"99",2.44897959183673,"x2",0.4415,"SVM-pol",0.0111035523594929,"start"
"100",2.44897959183673,"x2",0.3905,"SVM-rad",0.010908935557606,"start"
"101",2.55102040816327,"x1",0,"SVM-pol",0,"start"
"102",2.55102040816327,"x1",0.3625,"SVM-rad",0.0107492732312468,"start"
"103",2.55102040816327,"x2",0.4515,"SVM-pol",0.0111276176695643,"start"
"104",2.55102040816327,"x2",0.379,"SVM-rad",0.010848018252197,"start"
"105",2.6530612244898,"x1",0,"SVM-pol",0,"start"
