"","x","var","ncond","prob","method"
"108",2.6530612244898,"x2",0,0.36,"rad"
"109",2.75510204081633,"x1",0,0,"pol"
"110",2.75510204081633,"x1",0,0.124,"rad"
"111",2.75510204081633,"x2",0,0.4605,"pol"
"112",2.75510204081633,"x2",0,0.3445,"rad"
"113",2.85714285714286,"x1",0,0,"pol"
"114",2.85714285714286,"x1",0,0.061,"rad"
"115",2.85714285714286,"x2",0,0.4465,"pol"
"116",2.85714285714286,"x2",0,0.3465,"rad"
"117",2.95918367346939,"x1",0,0,"pol"
"118",2.95918367346939,"x1",0,0,"rad"
"119",2.95918367346939,"x2",0,0.4645,"pol"
"120",2.95918367346939,"x2",0,0.3945,"rad"
"121",3.06122448979592,"x1",0,0,"pol"
"122",3.06122448979592,"x1",0,0,"rad"
"123",3.06122448979592,"x2",0,0.459,"pol"
"124",3.06122448979592,"x2",0,0.383,"rad"
"125",3.16326530612245,"x1",0,0,"pol"
"126",3.16326530612245,"x1",0,0,"rad"
"127",3.16326530612245,"x2",0,0.4615,"pol"
"128",3.16326530612245,"x2",0,0.3795,"rad"
"129",3.26530612244898,"x1",0,0,"pol"
"130",3.26530612244898,"x1",0,0,"rad"
"131",3.26530612244898,"x2",0,0.4685,"pol"
"132",3.26530612244898,"x2",0,0.3915,"rad"
"133",3.36734693877551,"x1",0,0,"pol"
"134",3.36734693877551,"x1",0,0,"rad"
"135",3.36734693877551,"x2",0,0.431,"pol"
"136",3.36734693877551,"x2",0,0.356,"rad"
"137",3.46938775510204,"x1",0,0,"pol"
"138",3.46938775510204,"x1",0,0,"rad"
"139",3.46938775510204,"x2",0,0.487,"pol"
"140",3.46938775510204,"x2",0,0.4015,"rad"
"141",3.57142857142857,"x1",0,0,"pol"
"142",3.57142857142857,"x1",0,0,"rad"
"143",3.57142857142857,"x2",0,0.4695,"pol"
"144",3.57142857142857,"x2",0,0.43,"rad"
"145",3.6734693877551,"x1",0,0,"pol"
"146",3.6734693877551,"x1",0,0,"rad"
"147",3.6734693877551,"x2",0,0.4505,"pol"
"148",3.6734693877551,"x2",0,0.4295,"rad"
"149",3.77551020408163,"x1",0,0,"pol"
"150",3.77551020408163,"x1",0,0,"rad"
"151",3.77551020408163,"x2",0,0.465,"pol"
"152",3.77551020408163,"x2",0,0.4605,"rad"
"153",3.87755102040816,"x1",0,0,"pol"
"154",3.87755102040816,"x1",0,0,"rad"
"155",3.87755102040816,"x2",0,0.4605,"pol"
"156",3.87755102040816,"x2",0,0.458,"rad"
"157",3.97959183673469,"x1",0,0,"pol"
"158",3.97959183673469,"x1",0,0,"rad"
"159",3.97959183673469,"x2",0,0.4595,"pol"
"160",3.97959183673469,"x2",0,0.454,"rad"
"161",4.08163265306122,"x1",0,0,"pol"
"162",4.08163265306122,"x1",0,0,"rad"
"163",4.08163265306122,"x2",0,0.453,"pol"
"164",4.08163265306122,"x2",0,0.459,"rad"
"165",4.18367346938776,"x1",0,0,"pol"
"166",4.18367346938776,"x1",0,0,"rad"
"167",4.18367346938776,"x2",0,0.4345,"pol"
"168",4.18367346938776,"x2",0,0.415,"rad"
"169",4.28571428571429,"x1",0,0,"pol"
"170",4.28571428571429,"x1",0,0,"rad"
"171",4.28571428571429,"x2",0,0.4525,"pol"
"172",4.28571428571429,"x2",0,0.4315,"rad"
"173",4.38775510204082,"x1",0,0,"pol"
"174",4.38775510204082,"x1",0,0,"rad"
"175",4.38775510204082,"x2",0,0.438,"pol"
"176",4.38775510204082,"x2",0,0.4215,"rad"
"177",4.48979591836735,"x1",0,0,"pol"
"178",4.48979591836735,"x1",0,0,"rad"
"179",4.48979591836735,"x2",0,0.432,"pol"
"180",4.48979591836735,"x2",0,0.3895,"rad"
"181",4.59183673469388,"x1",0,0,"pol"
"182",4.59183673469388,"x1",0,0,"rad"
"183",4.59183673469388,"x2",0,0.3915,"pol"
"184",4.59183673469388,"x2",0,0.312,"rad"
"185",4.69387755102041,"x1",0,0,"pol"
"186",4.69387755102041,"x1",0,0,"rad"
"187",4.69387755102041,"x2",0,0.373,"pol"
"188",4.69387755102041,"x2",0,0.2575,"rad"
"189",4.79591836734694,"x1",0,0,"pol"
"190",4.79591836734694,"x1",0,0,"rad"
"191",4.79591836734694,"x2",0,0.337,"pol"
"192",4.79591836734694,"x2",0,0.2315,"rad"
"193",4.89795918367347,"x1",0,0,"pol"
"194",4.89795918367347,"x1",0,0,"rad"
"195",4.89795918367347,"x2",0,0.1045,"pol"
"196",4.89795918367347,"x2",0,0.164,"rad"
"197",5,"x1",0,0,"pol"
"198",5,"x1",0,0,"rad"
"199",5,"x2",0,0,"pol"
"200",5,"x2",0,0.1135,"rad"
"201",0,"x1",1,0,"pol"
"202",0,"x1",1,0.3525,"rad"
"203",0,"x2",1,0,"pol"
"204",0,"x2",1,0,"rad"
"205",0.102040816326531,"x1",1,0,"pol"
"206",0.102040816326531,"x1",1,0.4365,"rad"
"207",0.102040816326531,"x2",1,0,"pol"
"208",0.102040816326531,"x2",1,0,"rad"
"209",0.204081632653061,"x1",1,0.9595,"pol"
"210",0.204081632653061,"x1",1,0.522,"rad"
"211",0.204081632653061,"x2",1,0,"pol"
"212",0.204081632653061,"x2",1,0,"rad"
"213",0.306122448979592,"x1",1,1,"pol"
"214",0.306122448979592,"x1",1,1,"rad"
"215",0.306122448979592,"x2",1,0,"pol"
"216",0.306122448979592,"x2",1,0,"rad"
"217",0.408163265306122,"x1",1,1,"pol"
"218",0.408163265306122,"x1",1,1,"rad"
"219",0.408163265306122,"x2",1,0,"pol"
"220",0.408163265306122,"x2",1,0,"rad"
"221",0.510204081632653,"x1",1,1,"pol"
"222",0.510204081632653,"x1",1,1,"rad"
"223",0.510204081632653,"x2",1,0,"pol"
"224",0.510204081632653,"x2",1,0,"rad"
"225",0.612244897959184,"x1",1,1,"pol"
"226",0.612244897959184,"x1",1,1,"rad"
"227",0.612244897959184,"x2",1,0.317,"pol"
"228",0.612244897959184,"x2",1,0,"rad"
"229",0.714285714285714,"x1",1,1,"pol"
"230",0.714285714285714,"x1",1,1,"rad"
