"","x1","x2","f1","f2","order","f1.norm","f2.norm","theta","dist","rad"
"23",4.86705230141524,1.28378785098903,351.74365155276,33.7849300927258,0,4.30766938022611,3.43545544148524,42.8589833579366,5.1440009064798,5.50984297233307
"24",2.8988473478239,1.95170432853047,143.889315127292,11.7317003409862,0,1.70788155145197,0.0657827101669119,2.4508656598877,0.991485737326887,1.70914796280102
"25",3.36333110346459,1.93253485835157,187.110947320993,12.480950708874,0,2.24848645414174,0.18026610158048,5.09302734621675,1.63912641855733,2.25570104442896
"26",4.94818807987031,0.658623403287493,372.500241875836,85.3254723153985,0,4.56728739838631,11.3107082566155,75.5678242177485,11.7659039101224,12.1980422792237
"27",3.20826757524628,1.65586372546386,154.943969258741,13.2571907807013,0,1.84615028212411,0.298873445377218,10.2175966981943,1.35092733742275,1.87018614061237
"28",4.33204134576954,3.82301338075195,274.759809285385,21.9210131908371,0,3.34477555957803,1.62268163370466,28.7553779870046,3.32486850469831,3.71760934315495
"29",3.97320209012832,3.58368985587731,235.236181285088,20.7718207592685,0,2.85042432884961,1.44708819712929,29.9063895644106,2.80767965590077,3.19671442339923
"30",2.62581998482347,4.98205529293045,269.079510951174,19.021295707986,0,3.27372786951272,1.17961279342653,22.017182971297,3.05968206754956,3.47976730630653
"31",3.35516815190203,4.6254757384304,214.850293577209,15.8215373441097,0,2.59544296231601,0.69069853338663,16.5579506008846,2.22978442610837,2.68577523904331
"32",3.10717366635799,4.65105474286247,196.265875193293,15.3715303726417,0,2.36299390423886,0.621938708284856,16.3842109206513,1.9861250001175,2.44347047216312
"33",2.59964603523258,4.13200309150852,87.2588892368158,14.7124863542965,0,0.999562954398554,0.52123859848887,30.6005911819359,0.740286890447681,1.12730465108621
"34",1.83088466178299,1.45606490780593,45.1813941268001,12.8731826487207,1,0.473268619945023,0.240198061068149,29.8990711573524,0.141677342803988,0.530733732831789
"35",2.3379997736308,1.56740106318651,78.9855263664573,12.2287059323873,2,0.896081889421579,0.141723794874693,9.98602504505126,0.384646821664157,0.907220142293496
"36",1.24407357062305,4.5514390574268,68.4441226452268,15.3374493172307,3,0.764232761017773,0.616731216939333,43.225910998791,0.616452162355174,0.982043332526788
"37",1.28700954532549,1.45468920452909,27.5024973721988,13.1035506831211,4,0.252145590234994,0.275397661871528,52.8041594440394,0.00736007291800445,0.37339157842573
"38",2.13267985858587,3.47587464304733,71.2745439880744,16.841291698424,5,0.79963493296176,0.846514188465677,51.8124844561969,0.799000174493494,1.16447511664546
"39",1.69609551141994,1.81675759741831,61.865965396765,11.7123615056559,6,0.681954885826818,0.0628277894228053,5.84860143331875,0.0867069961474104,0.684842899814859
"40",0.448880862915996,4.11448553213769,20.0483587183237,15.9692223310998,7,0.158911168092984,0.71326439240537,86.0444072152692,0.220548148511669,0.730752251326042
"41",1.34358366506642,1.20794723509025,16.6644355178837,16.2680772962735,8,0.116585939275038,0.758928607493206,90.2961621072761,0.19471425612231,0.767831304720132
"42",0.703525492097862,1.49845079773703,24.3724289693685,14.0235959805864,9,0.212995511016769,0.415978047844332,69.8732709711364,0.0671973557849385,0.46733801899875
"43",1.01523624181984,1.46145190859404,23.537286841588,13.4642420032781,10,0.202549771098906,0.330510301590904,64.9982079324553,0.00268353108051644,0.387638322705495
"44",1.52211037305578,1.6002905509976,42.5231406920882,12.0708318605791,11,0.440019879292267,0.117601071775039,16.6259068459066,0,0.45546405594187
