"","method","rate","err","typ1","typ1.err","typ2","typ2.err","source","criteria"
"1","SVM-rad",0.134,0.00340652315418522,0.226177860366339,0.00418355633219446,0.00724883683619445,0.00084830956617951,"0paret","Threshold Cutoff"
"2","SVM-lin",0.2323,0.00422299313283837,0.328215202261853,0.00469563609392874,0.0122399111440207,0.00109954971325571,"0paret","Threshold Cutoff"
"3","SVM-pol",0.1252,0.00330945554434563,0.203097193802982,0.00402304267529361,0.0122695698434413,0.00110086454658592,"0paret","Threshold Cutoff"
"4","SVM-rad",0.1357,0.00342469721289343,0.203793961201502,0.00402817554954228,0.0185448265726043,0.00134910770437339,"1adapt","Threshold Cutoff"
"5","SVM-lin",0.2306,0.00421216856262899,0.32559229208925,0.0046859572279452,0.0154513751572892,0.00123339491498214,"1adapt","Threshold Cutoff"
"6","SVM-pol",0.1986,0.00398946161781261,0.296626855123675,0.0045677058130216,0.0118721112076455,0.00108310498951481,"1adapt","Threshold Cutoff"
"7","SVM-rad",0.1409,0.00347918366862113,0.232641148325359,0.00422515377745257,0.0088771240782302,0.000937993643173018,"2rando","Threshold Cutoff"
"8","SVM-lin",0.2178,0.00412750723803121,0.317290169929017,0.00465421441271706,0.00731096991216595,0.000851910771801211,"2rando","Threshold Cutoff"
"9","SVM-pol",0.1249,0.00330605489972565,0.197729945717732,0.00398287351398704,0.014178934769599,0.00118228137845432,"2rando","Threshold Cutoff"
