"","x","prob","var","ncond"
"1",0,0.322053545761555,"x1",0
"2",0.102040816326531,0.373828606751446,"x1",0
"3",0.204081632653061,0.400445776377298,"x1",0
"4",0.306122448979592,0.427593737438845,"x1",0
"5",0.408163265306122,0.446324155566264,"x1",0
"6",0.510204081632653,0.464333046958196,"x1",0
"7",0.612244897959184,0.514390320936197,"x1",0
"8",0.714285714285714,0.537681072937705,"x1",0
"9",0.816326530612245,0.525093734606684,"x1",0
"10",0.918367346938776,0.544245642445572,"x1",0
"11",1.02040816326531,0.562236758474425,"x1",0
"12",1.12244897959184,0.578895589705315,"x1",0
"13",1.22448979591837,0.56347844378212,"x1",0
"14",1.3265306122449,0.516611595495822,"x1",0
"15",1.42857142857143,0.514511564689603,"x1",0
"16",1.53061224489796,0.462612040117531,"x1",0
"17",1.63265306122449,0.457057615770097,"x1",0
"18",1.73469387755102,0.431714858388896,"x1",0
"19",1.83673469387755,0.390436721314667,"x1",0
"20",1.93877551020408,0.360970907047141,"x1",0
"21",2.04081632653061,0.303191066716409,"x1",0
"22",2.14285714285714,0.293330510555781,"x1",0
"23",2.24489795918367,0.229418567776605,"x1",0
"24",2.3469387755102,0.193023261008686,"x1",0
"25",2.44897959183673,0.166810803800593,"x1",0
"26",2.55102040816327,0.109708044849109,"x1",0
"27",2.6530612244898,0.0130543804654494,"x1",0
"28",2.75510204081633,0.0016638970176717,"x1",0
"29",2.85714285714286,0.000385668389358453,"x1",0
"30",2.95918367346939,0.000127458990763953,"x1",0
"31",3.06122448979592,2.70625725631317e-05,"x1",0
"32",3.16326530612245,7.68063462691182e-06,"x1",0
"33",3.26530612244898,2.21560721080462e-06,"x1",0
"34",3.36734693877551,4.9299235824643e-07,"x1",0
"35",3.46938775510204,9.66797240676273e-08,"x1",0
"36",3.57142857142857,1.34056663515512e-08,"x1",0
"37",3.6734693877551,3.30877244782782e-09,"x1",0
"38",3.77551020408163,1.00843795652788e-09,"x1",0
"39",3.87755102040816,3.30734767216761e-10,"x1",0
"40",3.97959183673469,1.52532102121436e-10,"x1",0
"41",4.08163265306122,4.60615546360227e-11,"x1",0
"42",4.18367346938776,1.17238840473137e-11,"x1",0
"43",4.28571428571429,3.05894861691272e-12,"x1",0
"44",4.38775510204082,1.12682066620196e-12,"x1",0
"45",4.48979591836735,1.3564794745956e-11,"x1",0
"46",4.59183673469388,1.9828347399413e-10,"x1",0
"47",4.69387755102041,1.71935587044873e-09,"x1",0
"48",4.79591836734694,8.31517001700011e-09,"x1",0
"49",4.89795918367347,3.05238724584697e-08,"x1",0
"50",5,1.35659080930838e-07,"x1",0
"51",0,0,"x2",0
"52",0.102040816326531,0,"x2",0
"53",0.204081632653061,0,"x2",0
"54",0.306122448979592,8.01870448115922e-158,"x2",0
"55",0.408163265306122,1.30448561231619e-82,"x2",0
"56",0.510204081632653,3.83089312359623e-63,"x2",0
"57",0.612244897959184,1.24818917685123e-76,"x2",0
"58",0.714285714285714,5.88120494387812e-200,"x2",0
"59",0.816326530612245,0,"x2",0
"60",0.918367346938776,0,"x2",0
"61",1.02040816326531,2.79483815184057e-127,"x2",0
"62",1.12244897959184,0.386550491313124,"x2",0
"63",1.22448979591837,0.480888231941656,"x2",0
"64",1.3265306122449,0.528015990260073,"x2",0
"65",1.42857142857143,0.514019493285996,"x2",0
"66",1.53061224489796,0.315469072295301,"x2",0
"67",1.63265306122449,0.272666666666667,"x2",0
"68",1.73469387755102,0.245555376514487,"x2",0
"69",1.83673469387755,0.256439848393846,"x2",0
"70",1.93877551020408,0.264569905967227,"x2",0
"71",2.04081632653061,0.341365383709463,"x2",0
"72",2.14285714285714,0.280257405998562,"x2",0
"73",2.24489795918367,0.237475344635297,"x2",0
"74",2.3469387755102,0.190165610015856,"x2",0
"75",2.44897959183673,0.143676938667042,"x2",0
"76",2.55102040816327,0.0758882148958427,"x2",0
"77",2.6530612244898,0.0983440256216215,"x2",0
"78",2.75510204081633,0.102312893666339,"x2",0
"79",2.85714285714286,0.0768391210142958,"x2",0
"80",2.95918367346939,0.0667785120079321,"x2",0
"81",3.06122448979592,0.095449448893166,"x2",0
"82",3.16326530612245,0.129009302954738,"x2",0
"83",3.26530612244898,0.147114434635747,"x2",0
"84",3.36734693877551,0.266163825267929,"x2",0
"85",3.46938775510204,0.340422365419587,"x2",0
"86",3.57142857142857,0.364717826139703,"x2",0
"87",3.6734693877551,0.441985045003881,"x2",0
"88",3.77551020408163,0.513924214743892,"x2",0
"89",3.87755102040816,0.514711096608069,"x2",0
"90",3.97959183673469,0.504176858327467,"x2",0
"91",4.08163265306122,0.516841241309075,"x2",0
"92",4.18367346938776,0.508649553419973,"x2",0
"93",4.28571428571429,0.460988843984708,"x2",0
"94",4.38775510204082,0.397798545599086,"x2",0
"95",4.48979591836735,0.270828421826364,"x2",0
"96",4.59183673469388,0.107014009599175,"x2",0
"97",4.69387755102041,0.0099364829753593,"x2",0
"98",4.79591836734694,0.00158293024792616,"x2",0
"99",4.89795918367347,1.96670064881736e-06,"x2",0
"100",5,0,"x2",0
"101",0,0.499085860898717,"x1",1
"102",0.102040816326531,0.526162349959721,"x1",1
"103",0.204081632653061,0.567905580073836,"x1",1
"104",0.306122448979592,0.608066811512996,"x1",1
"105",0.408163265306122,0.631193589302146,"x1",1
"106",0.510204081632653,0.669518688440502,"x1",1
"107",0.612244897959184,0.714486395175024,"x1",1
"108",0.714285714285714,0.736457688911471,"x1",1
"109",0.816326530612245,0.76234166132816,"x1",1
"110",0.918367346938776,0.782879556296797,"x1",1
