"adapt","class","typ","n","unc.min","unc.med","unc.max","ptl","adapt.n","unc.min.n","unc.med.n","unc.max.n"
0.212915727642408,"Pareto Distance","Total",0,0.212915727642408,0.212915727642408,0.212915727642408,NA,1,1,1,1
0.000905257353688431,"Threshold Cutoff","Total",0,0.000905257353688431,0.000905257353688431,0.000905257353688431,NA,1,1,1,1
0.0665148935332354,"Utopia Distance","Total",0,0.0665148935332354,0.0665148935332354,0.0665148935332354,NA,1,1,1,1
0.069730127004434,"Pareto Distance","False Negative",0,0.069730127004434,0.069730127004434,0.069730127004434,NA,1,1,1,1
0.000213072011784978,"Threshold Cutoff","False Negative",0,0.000213072011784978,0.000213072011784978,0.000213072011784978,NA,1,1,1,1
0.00584922643094027,"Utopia Distance","False Negative",0,0.00584922643094027,0.00584922643094027,0.00584922643094027,NA,1,1,1,1
0.165272935152852,"Pareto Distance","False Positive",0,0.165272935152852,0.165272935152852,0.165272935152852,NA,1,1,1,1
0.000907351615675594,"Threshold Cutoff","False Positive",0,0.000907351615675594,0.000907351615675594,0.000907351615675594,NA,1,1,1,1
0.173051734699697,"Utopia Distance","False Positive",0,0.173051734699697,0.173051734699697,0.173051734699697,NA,1,1,1,1
0.230644930796342,"Pareto Distance","Total",5,0.193994121957319,0.208392299916807,0.262481189488935,0.143,1.08326864036888,0.9111310099324,0.978754844577762,1.23279380248401
0.000811187237389721,"Threshold Cutoff","Total",5,4.2554020839902e-05,0.000115798352130923,0.000179152826316546,0,0.896084670380831,0.0470076499975587,0.127917604490157,0.197902646785023
0.0578445373792195,"Utopia Distance","Total",5,0.0469553966243123,0.0566135950115848,0.0686737841589287,0.409,0.86964789848632,0.705938085894254,0.851141631660235,1.03245725146676
0.0732884515489606,"Pareto Distance","False Negative",5,0.053450908230875,0.0598928426900999,0.0758034353364454,0.077,1.0510299449806,0.766539665523285,0.858923470572361,1.08709733644434
0.000231823118286785,"Threshold Cutoff","False Negative",5,3.67160153679395e-15,2.58618913971852e-06,4.49218132645059e-05,0,1.08800361128955,1.72317401334679e-11,0.0121376295180823,0.210829253866711
0.00326950547674912,"Utopia Distance","False Negative",5,0.00290359740442253,0.00390233798640776,0.00534940587351307,0.841,0.558963739111659,0.496407078560604,0.667154542994919,0.91454928898233
0.185711889365581,"Pareto Distance","False Positive",5,0.155006864424141,0.187898141798293,0.235350770071329,0.6,1.12366788424145,0.937884138626708,1.13689601763601,1.42401276926355
0.000529903091588514,"Threshold Cutoff","False Positive",5,6.89755211386882e-05,0.000263598062208288,0.000435743487541767,0,0.584010743391865,0.0760185136027234,0.290513685824011,0.480236635956527
0.174025808540607,"Utopia Distance","False Positive",5,0.132682880565859,0.169330127441902,0.207353274752057,0.414,1.00562880136741,0.766723782319249,0.978494250495359,1.19821552272726
0.17202066739922,"Pareto Distance","Total",10,0.172191517550548,0.216486903136708,0.264908679690565,0.976,0.807928419868205,0.808730850732377,1.01677271817278,1.24419498091507
0.00050533180467078,"Threshold Cutoff","Total",10,4.11315015480247e-05,0.000215972769341195,0.000630985137123479,0.137,0.55821894471426,0.0454362523324844,0.23857610044395,0.697022934475547
0.0332687244297598,"Utopia Distance","Total",10,0.0320668363769876,0.0484573539789896,0.0652527822485377,0.96,0.500169550946307,0.482100093281587,0.728518853522286,0.981025132603315
0.0518863241155534,"Pareto Distance","False Negative",10,0.053971768058974,0.0626733783526867,0.0787060314502804,0.992,0.744101959146785,0.774009318175228,0.898799142423782,1.12872347766233
0.000104675471069233,"Threshold Cutoff","False Negative",10,9.52638627833435e-07,3.37793306973196e-05,0.000202071710099251,0.237,0.491268046855757,0.00447097025955147,0.158534809026951,0.948372845435807
0.00238206914880747,"Utopia Distance","False Negative",10,0.00271330751969434,0.00380574624265975,0.00561011465885728,0.998,0.407245159155952,0.463874591235165,0.650640950148338,0.959120787183383
0.143736889616975,"Pareto Distance","False Positive",10,0.133382318963673,0.189054607950455,0.228995234707143,0.906,0.869694057796215,0.807042719004867,1.14389332878736,1.38555798319524
0.000605057714994794,"Threshold Cutoff","False Positive",10,7.41570522604689e-05,0.00023797636270748,0.000696550277961643,0.045,0.666839298615544,0.0817291235055037,0.26227579099012,0.76767403719561
0.0981369200214968,"Utopia Distance","False Positive",10,0.0807195287051233,0.134856905093451,0.190950074559479,0.902,0.567095846752403,0.466447382600347,0.779286641231731,1.10342768242596
0.18963020630988,"Pareto Distance","Total",15,0.165608912041249,0.202427153486563,0.257403029673816,0.671,0.890635033915221,0.777814367567009,0.95073837770472,1.2089432402388
0.000467807274862131,"Threshold Cutoff","Total",15,0.000491451883912037,0.000836581051087243,0.00114521607819834,0.987,0.516767163454757,0.542886375802017,0.924136156065047,1.26507238359591
0.0235944245859039,"Utopia Distance","Total",15,0.0222650825646832,0.0407630445764448,0.0615288851480638,0.969,0.35472393222902,0.33473830268642,0.612840860311634,0.925039218732564
0.0528442737554555,"Pareto Distance","False Negative",15,0.0567654241611837,0.0669078068607761,0.0866540123499181,0.999,0.75783991834828,0.814073150298064,0.959525096756551,1.24270550008331
9.28427193034039e-05,"Threshold Cutoff","False Negative",15,7.3365098575648e-07,8.92210163746301e-06,2.04705933072207e-05,0,0.435733996809945,0.00344320673377246,0.0418736443267208,0.0960735909692291
0.00245573584715884,"Utopia Distance","False Negative",15,0.00190880147126615,0.00302926667538618,0.00492578687064203,0.797,0.419839422554904,0.326334002248449,0.517891846238413,0.842126207422304
0.167603375369094,"Pareto Distance","False Positive",15,0.109809168873859,0.155942197481039,0.197076203087464,0.271,1.01410055562991,0.664411077181526,0.943543462435734,1.19242877186878
0.000588179788218553,"Threshold Cutoff","False Positive",15,0.00116173160814473,0.00206447570520951,0.00284320497948906,1,0.648237990716099,1.28035437208069,2.27527638629083,3.13352060035962
0.0565025587804348,"Utopia Distance","False Positive",15,0.0552171672825426,0.116423813196779,0.182236038600817,0.971,0.326506745965221,0.319078958545911,0.67276883065526,1.05307259078944
0.177687360434667,"Pareto Distance","Total",20,0.152124591709961,0.181047588242377,0.249059309927351,0.566,0.834543142501397,0.714482642472772,0.850325103960598,1.16975534257218
0.000476584503512954,"Threshold Cutoff","Total",20,0.00067127908939727,0.000853397601758962,0.00113001646201103,1,0.52646300145603,0.741533981096285,0.942712697424474,1.24828200224702
0.019292959004154,"Utopia Distance","Total",20,0.0212652372450711,0.0348758296593321,0.0540306361265316,0.99,0.290054722774441,0.319706401310641,0.524331135581022,0.812308841771417
0.0485750713283091,"Pareto Distance","False Negative",20,0.0475877063737959,0.0553875834183112,0.0759255422180351,0.957,0.696615271118326,0.682455466785108,0.794313531291707,1.0888484716686
7.45167525524921e-05,"Threshold Cutoff","False Negative",20,0.000145488659893171,0.000189725109138834,0.000346953766665385,1,0.3497256722187,0.682814503295683,0.890427173186387,1.62834040829123
0.00186624827617287,"Utopia Distance","False Negative",20,0.00196624944803636,0.00346540403530823,0.00576061543700615,0.985,0.319058989800959,0.336155467949679,0.592455100896336,0.984850818312418
0.159032391983526,"Pareto Distance","False Positive",20,0.110621939262182,0.151462543134339,0.210474295736293,0.384,0.962240985412675,0.669328823620595,0.916438877268434,1.27349523708547
0.000737805748414271,"Threshold Cutoff","False Positive",20,0.000398530049934844,0.000847621587770466,0.00148147071472193,0.668,0.813142045120972,0.439223387107883,0.93417102380905,1.63274158454973
0.0490276282917944,"Utopia Distance","False Positive",20,0.0470203937821437,0.0829537501973853,0.141475605950388,0.966,0.283311972439189,0.271712929452802,0.479358096821959,0.817533590148034
