"","x","prob","var","ncond"
"1",0,0.389332130502924,"x1",0
"2",0.102040816326531,0.408905393022047,"x1",0
"3",0.204081632653061,0.475116321738178,"x1",0
"4",0.306122448979592,0.521342119537467,"x1",0
"5",0.408163265306122,0.549856600113681,"x1",0
"6",0.510204081632653,0.615913227845788,"x1",0
"7",0.612244897959184,0.649739333470331,"x1",0
"8",0.714285714285714,0.735210501114085,"x1",0
"9",0.816326530612245,0.717947264954862,"x1",0
"10",0.918367346938776,0.731339682265221,"x1",0
"11",1.02040816326531,0.740662931566459,"x1",0
"12",1.12244897959184,0.734000496004893,"x1",0
"13",1.22448979591837,0.719275601169659,"x1",0
"14",1.3265306122449,0.72627062103389,"x1",0
"15",1.42857142857143,0.712666697878265,"x1",0
"16",1.53061224489796,0.71133392536877,"x1",0
"17",1.63265306122449,0.697399275207878,"x1",0
"18",1.73469387755102,0.703075293665304,"x1",0
"19",1.83673469387755,0.676653686284169,"x1",0
"20",1.93877551020408,0.594763285345802,"x1",0
"21",2.04081632653061,0.529176009436654,"x1",0
"22",2.14285714285714,0.443768775621701,"x1",0
"23",2.24489795918367,0.41592794884043,"x1",0
"24",2.3469387755102,0.339284649215538,"x1",0
"25",2.44897959183673,0.290718355642198,"x1",0
"26",2.55102040816327,0.23238556159015,"x1",0
"27",2.6530612244898,0.158278511167205,"x1",0
"28",2.75510204081633,0.0180017183729711,"x1",0
"29",2.85714285714286,0,"x1",0
"30",2.95918367346939,0,"x1",0
"31",3.06122448979592,0,"x1",0
"32",3.16326530612245,0,"x1",0
"33",3.26530612244898,0,"x1",0
"34",3.36734693877551,0,"x1",0
"35",3.46938775510204,0,"x1",0
"36",3.57142857142857,0,"x1",0
"37",3.6734693877551,0,"x1",0
"38",3.77551020408163,0,"x1",0
"39",3.87755102040816,0,"x1",0
"40",3.97959183673469,0,"x1",0
"41",4.08163265306122,0,"x1",0
"42",4.18367346938776,0,"x1",0
"43",4.28571428571429,0,"x1",0
"44",4.38775510204082,0,"x1",0
"45",4.48979591836735,0,"x1",0
"46",4.59183673469388,0,"x1",0
"47",4.69387755102041,0,"x1",0
"48",4.79591836734694,0,"x1",0
"49",4.89795918367347,0,"x1",0
"50",5,0,"x1",0
"51",0,0,"x2",0
"52",0.102040816326531,0,"x2",0
"53",0.204081632653061,0,"x2",0
"54",0.306122448979592,0,"x2",0
"55",0.408163265306122,0,"x2",0
"56",0.510204081632653,0,"x2",0
"57",0.612244897959184,0,"x2",0
"58",0.714285714285714,0,"x2",0
"59",0.816326530612245,0,"x2",0
"60",0.918367346938776,0,"x2",0
"61",1.02040816326531,0,"x2",0
"62",1.12244897959184,0.39169033166937,"x2",0
"63",1.22448979591837,0.530405254150659,"x2",0
"64",1.3265306122449,0.525128622132685,"x2",0
"65",1.42857142857143,0.521104863934494,"x2",0
"66",1.53061224489796,0.54067245557116,"x2",0
"67",1.63265306122449,0.4861232265726,"x2",0
"68",1.73469387755102,0.47253152908508,"x2",0
"69",1.83673469387755,0.465000203937761,"x2",0
"70",1.93877551020408,0.429569734968633,"x2",0
"71",2.04081632653061,0.410590792672827,"x2",0
"72",2.14285714285714,0.413039496429842,"x2",0
"73",2.24489795918367,0.374121733282992,"x2",0
"74",2.3469387755102,0.335321597554009,"x2",0
"75",2.44897959183673,0.30432835190178,"x2",0
"76",2.55102040816327,0.304526279400191,"x2",0
"77",2.6530612244898,0.28465755023976,"x2",0
"78",2.75510204081633,0.290597873466652,"x2",0
"79",2.85714285714286,0.28990716087766,"x2",0
"80",2.95918367346939,0.265978628489465,"x2",0
"81",3.06122448979592,0.277459749701243,"x2",0
"82",3.16326530612245,0.328751057001091,"x2",0
"83",3.26530612244898,0.342530877439923,"x2",0
"84",3.36734693877551,0.407822607762507,"x2",0
"85",3.46938775510204,0.437429165012375,"x2",0
"86",3.57142857142857,0.49428283626831,"x2",0
"87",3.6734693877551,0.510662263476159,"x2",0
"88",3.77551020408163,0.517787692012091,"x2",0
"89",3.87755102040816,0.542764081074047,"x2",0
"90",3.97959183673469,0.545490328246225,"x2",0
"91",4.08163265306122,0.545999422350641,"x2",0
"92",4.18367346938776,0.496759789112972,"x2",0
"93",4.28571428571429,0.519903564722969,"x2",0
"94",4.38775510204082,0.504151844544482,"x2",0
"95",4.48979591836735,0.425866864079361,"x2",0
"96",4.59183673469388,0.281666144477428,"x2",0
"97",4.69387755102041,1.73073148502044e-34,"x2",0
"98",4.79591836734694,0,"x2",0
"99",4.89795918367347,0,"x2",0
"100",5,0,"x2",0
"101",0,0.548709468421421,"x1",1
"102",0.102040816326531,0.611382024254221,"x1",1
"103",0.204081632653061,0.666024886484225,"x1",1
"104",0.306122448979592,0.71341496664786,"x1",1
"105",0.408163265306122,0.774784315565775,"x1",1
"106",0.510204081632653,0.820747130400369,"x1",1
"107",0.612244897959184,0.893544552569051,"x1",1
"108",0.714285714285714,1,"x1",1
"109",0.816326530612245,1,"x1",1
"110",0.918367346938776,1,"x1",1
"111",1.02040816326531,1,"x1",1
"112",1.12244897959184,1,"x1",1
"113",1.22448979591837,1,"x1",1
"114",1.3265306122449,1,"x1",1
"115",1.42857142857143,1,"x1",1
"116",1.53061224489796,1,"x1",1
"117",1.63265306122449,0.99913476463575,"x1",1
"118",1.73469387755102,0.995082501212017,"x1",1
"119",1.83673469387755,0.995084424708908,"x1",1
"120",1.93877551020408,0.859147679718398,"x1",1
"121",2.04081632653061,0.763828676976959,"x1",1
"122",2.14285714285714,0.67403871725058,"x1",1
"123",2.24489795918367,0.599164842816362,"x1",1
