"import","var","typ","sd","r.import","method","model","r.sd"
2.95803351088694,"x1","Pareto Distance",0.0312703001317289,1,"Marginal","GP",0.0105713136841214
1.81745258709011,"x2","Pareto Distance",0.0314265860851845,0.614412440021737,"Marginal","GP",0.0106241480934952
2.96069992753311,"x1","Threshold Cutoff",0.0350729774966412,1,"Marginal","GP",0.0118461777130735
1.61560090434257,"x2","Threshold Cutoff",0.0336639105904509,0.545682083252762,"Marginal","GP",0.0113702541339608
2.24449833393031,"x1","Utopia Distance",0.034057203006042,0.915359057062864,"Marginal","GP",0.0138893260727977
2.45204143293484,"x2","Utopia Distance",0.0340749712539749,1,"Marginal","GP",0.0138965723809939
0.00156278386204124,"x1","Pareto Distance",0.013321800796686,1,"Shapley","GP",8.52440386688256
0.000433542036004182,"x2","Pareto Distance",0.0107773931759033,0.277416504312956,"Shapley","GP",6.8962787738455
0.000863130845160833,"x1","Threshold Cutoff",0.0175705940609307,1,"Shapley","GP",20.3568139864781
5.90432292188806e-05,"x2","Threshold Cutoff",0.0101515652630837,0.0684058848665971,"Shapley","GP",11.7613283316182
-0.000612751952234046,"x1","Utopia Distance",0.00836463822305604,0.540536781442597,"Shapley","GP",7.3788334848021
-0.00113359899505584,"x2","Utopia Distance",0.0100752358030023,1,"Shapley","GP",8.88783057055022
-0.00148,"x1","Pareto Distance",0.00836393293550707,0.965217391304348,"Shapley","pol",5.45473887098287
-0.00153333333333333,"x2","Pareto Distance",0.0166746919453981,1,"Shapley","pol",10.8747990948248
-0.00136,"x1","Pareto Distance",0.0118753617918392,0.778625954198473,"Shapley","rad",6.79887125486979
-0.00174666666666667,"x2","Pareto Distance",0.0147381621661685,1,"Shapley","rad",8.43787910276824
0.000653333333333334,"x1","Threshold Cutoff",0.0114701545083074,0.350000000000001,"Shapley","pol",6.1447256294504
0.00186666666666667,"x2","Threshold Cutoff",0.0164384373412506,1,"Shapley","pol",8.80630571852712
-0.00152,"x1","Threshold Cutoff",0.013302031284025,1,"Shapley","rad",8.75133637106907
0.00133333333333333,"x2","Threshold Cutoff",0.0170696851072263,0.87719298245614,"Shapley","rad",11.2300559915963
-0.00108,"x1","Utopia Distance",0.00715350317744744,0.270903010033445,"Shapley","pol",1.79435698430956
-0.00398666666666667,"x2","Utopia Distance",0.0159377985944195,1,"Shapley","pol",3.99777556716209
-0.00197333333333333,"x1","Utopia Distance",0.0125858214866703,0.646288209606987,"Shapley","rad",4.1219939366824
-0.00305333333333333,"x2","Utopia Distance",0.0133272707305253,1,"Shapley","rad",4.36482665846899
5.58642241300718,"x1","Pareto Distance",0.011803446326112,1,"Marginal","pol",0.0021128810987564
0.612552836440049,"x2","Pareto Distance",0.0778913430930465,0.109650289783638,"Marginal","pol",0.0139429741137526
3.20434778367175,"x1","Pareto Distance",0.0437196015297547,1,"Marginal","rad",0.0136438378357476
1.33047924154181,"x2","Pareto Distance",0.0676090315074978,0.415210623616286,"Marginal","rad",0.021099155295193
3.9832355268115,"x1","Threshold Cutoff",0.0402737010864048,1,"Marginal","pol",0.010110800833975
1.10279492513816,"x2","Threshold Cutoff",0.0702510056712318,0.276859080442306,"Marginal","pol",0.0176366687830449
2.59790234512269,"x1","Threshold Cutoff",0.0530644005407531,1,"Marginal","rad",0.0204258642132474
1.21355499318979,"x2","Threshold Cutoff",0.0705190772319635,0.46712879545612,"Marginal","rad",0.0271446220310614
7.65166032815356,"x1","Utopia Distance",0.000517992551990722,1,"Marginal","pol",6.76967520480252e-05
0.286175393177046,"x2","Utopia Distance",0.0705091656138982,0.0374004308743411,"Marginal","pol",0.00921488442899986
3.35182357333217,"x1","Utopia Distance",0.0510502777081255,1,"Marginal","rad",0.0152305980882444
1.4716073325146,"x2","Utopia Distance",0.0701579745516523,0.439046775678476,"Marginal","rad",0.0209312850204421
