"var","typ","import","sd","r.import","r.sd","method"
"x1","Pareto Distance",0.0783633883819597,0.00442045274042505,0.748635170204618,0.0422302615805651,"Sobol-GP"
"x2","Pareto Distance",0.104675002592439,0.00357049405594349,1,0.0341102839026954,"Sobol-GP"
"x1","Threshold Cutoff",0.121818205957678,0.00672069716074073,0.65981022125663,0.0364016580753763,"Sobol-GP"
"x2","Threshold Cutoff",0.184626127382008,0.00570243741403868,1,0.0308864053798833,"Sobol-GP"
"x1","Utopia Distance",0.107005384038844,0.00488981771385002,0.686199789019307,0.0313572248137413,"Sobol-GP"
"x2","Utopia Distance",0.155939109500124,0.0050253338437577,1,0.0322262571581101,"Sobol-GP"
