"","x","prob","psd","var","cat"
"1",0,0.36,0.0678822509939086,"x1","tru"
"2",0,0,0,"x2","tru"
"3",0.102040816326531,0.38,0.0686440092069221,"x1","tru"
"4",0.102040816326531,0,0,"x2","tru"
"5",0.204081632653061,0.4,0.0692820323027551,"x1","tru"
"6",0.204081632653061,0,0,"x2","tru"
"7",0.306122448979592,0.46,0.0704840407468244,"x1","tru"
"8",0.306122448979592,0,0,"x2","tru"
"9",0.408163265306122,0.48,0.0706540869306228,"x1","tru"
"10",0.408163265306122,0,0,"x2","tru"
"11",0.510204081632653,0.5,0.0707106781186548,"x1","tru"
"12",0.510204081632653,0,0,"x2","tru"
"13",0.612244897959184,0.52,0.0706540869306228,"x1","tru"
"14",0.612244897959184,0,0,"x2","tru"
"15",0.714285714285714,0.58,0.0697997134664606,"x1","tru"
"16",0.714285714285714,0,0,"x2","tru"
"17",0.816326530612245,0.58,0.0697997134664606,"x1","tru"
"18",0.816326530612245,0,0,"x2","tru"
"19",0.918367346938776,0.62,0.0686440092069221,"x1","tru"
"20",0.918367346938776,0,0,"x2","tru"
"21",1.02040816326531,0.66,0.0669925368977769,"x1","tru"
"22",1.02040816326531,0.02,0.0197989898732233,"x2","tru"
"23",1.12244897959184,0.68,0.0659696900098826,"x1","tru"
"24",1.12244897959184,0.4,0.0692820323027551,"x2","tru"
"25",1.22448979591837,0.66,0.0669925368977769,"x1","tru"
"26",1.22448979591837,0.48,0.0706540869306228,"x2","tru"
"27",1.3265306122449,0.62,0.0686440092069221,"x1","tru"
"28",1.3265306122449,0.52,0.0706540869306228,"x2","tru"
"29",1.42857142857143,0.58,0.0697997134664606,"x1","tru"
"30",1.42857142857143,0.52,0.0706540869306228,"x2","tru"
"31",1.53061224489796,0.54,0.0704840407468244,"x1","tru"
"32",1.53061224489796,0.32,0.0659696900098826,"x2","tru"
"33",1.63265306122449,0.48,0.0706540869306228,"x1","tru"
"34",1.63265306122449,0.26,0.0620322496770833,"x2","tru"
"35",1.73469387755102,0.4,0.0692820323027551,"x1","tru"
"36",1.73469387755102,0.24,0.060398675482166,"x2","tru"
"37",1.83673469387755,0.36,0.0678822509939086,"x1","tru"
