"","x","prob","psd","var"
"1",0,0.6,0.0692820323027551,"x1"
"2",0,0,0,"x2"
"3",0.102040816326531,0.66,0.0669925368977769,"x1"
"4",0.102040816326531,0,0,"x2"
"5",0.204081632653061,0.74,0.0620322496770833,"x1"
"6",0.204081632653061,0,0,"x2"
"7",0.306122448979592,0.74,0.0620322496770833,"x1"
"8",0.306122448979592,0,0,"x2"
"9",0.408163265306122,0.76,0.060398675482166,"x1"
"10",0.408163265306122,0,0,"x2"
"11",0.510204081632653,0.76,0.060398675482166,"x1"
"12",0.510204081632653,0,0,"x2"
"13",0.612244897959184,0.76,0.060398675482166,"x1"
"14",0.612244897959184,0,0,"x2"
"15",0.714285714285714,0.76,0.060398675482166,"x1"
"16",0.714285714285714,0,0,"x2"
"17",0.816326530612245,0.76,0.060398675482166,"x1"
"18",0.816326530612245,0.08,0.0383666521865018,"x2"
"19",0.918367346938776,0.76,0.060398675482166,"x1"
"20",0.918367346938776,0.32,0.0659696900098826,"x2"
"21",1.02040816326531,0.76,0.060398675482166,"x1"
"22",1.02040816326531,0.42,0.0697997134664606,"x2"
"23",1.12244897959184,0.76,0.060398675482166,"x1"
"24",1.12244897959184,0.5,0.0707106781186548,"x2"
"25",1.22448979591837,0.76,0.060398675482166,"x1"
"26",1.22448979591837,0.56,0.070199715099137,"x2"
"27",1.3265306122449,0.76,0.060398675482166,"x1"
"28",1.3265306122449,0.58,0.0697997134664606,"x2"
"29",1.42857142857143,0.76,0.060398675482166,"x1"
"30",1.42857142857143,0.6,0.0692820323027551,"x2"
"31",1.53061224489796,0.76,0.060398675482166,"x1"
"32",1.53061224489796,0.6,0.0692820323027551,"x2"
"33",1.63265306122449,0.74,0.0620322496770833,"x1"
"34",1.63265306122449,0.6,0.0692820323027551,"x2"
"35",1.73469387755102,0.74,0.0620322496770833,"x1"
"36",1.73469387755102,0.62,0.0686440092069221,"x2"
"37",1.83673469387755,0.74,0.0620322496770833,"x1"
"38",1.83673469387755,0.6,0.0692820323027551,"x2"
"39",1.93877551020408,0.72,0.0634980314655502,"x1"
"40",1.93877551020408,0.6,0.0692820323027551,"x2"
"41",2.04081632653061,0.72,0.0634980314655502,"x1"
"42",2.04081632653061,0.58,0.0697997134664606,"x2"
"43",2.14285714285714,0.7,0.0648074069840786,"x1"
"44",2.14285714285714,0.56,0.070199715099137,"x2"
"45",2.24489795918367,0.7,0.0648074069840786,"x1"
"46",2.24489795918367,0.54,0.0704840407468244,"x2"
"47",2.3469387755102,0.7,0.0648074069840786,"x1"
"48",2.3469387755102,0.52,0.0706540869306228,"x2"
"49",2.44897959183673,0.58,0.0697997134664606,"x1"
"50",2.44897959183673,0.48,0.0706540869306228,"x2"
"51",2.55102040816327,0.48,0.0706540869306228,"x1"
"52",2.55102040816327,0.48,0.0706540869306228,"x2"
"53",2.6530612244898,0.44,0.070199715099137,"x1"
"54",2.6530612244898,0.44,0.070199715099137,"x2"
"55",2.75510204081633,0.38,0.0686440092069221,"x1"
"56",2.75510204081633,0.44,0.070199715099137,"x2"
"57",2.85714285714286,0.3,0.0648074069840786,"x1"
"58",2.85714285714286,0.44,0.070199715099137,"x2"
"59",2.95918367346939,0.2,0.0565685424949238,"x1"
"60",2.95918367346939,0.46,0.0704840407468244,"x2"
"61",3.06122448979592,0.02,0.0197989898732233,"x1"
"62",3.06122448979592,0.48,0.0706540869306228,"x2"
"63",3.16326530612245,0,0,"x1"
"64",3.16326530612245,0.5,0.0707106781186548,"x2"
"65",3.26530612244898,0,0,"x1"
"66",3.26530612244898,0.5,0.0707106781186548,"x2"
"67",3.36734693877551,0,0,"x1"
"68",3.36734693877551,0.52,0.0706540869306228,"x2"
"69",3.46938775510204,0,0,"x1"
"70",3.46938775510204,0.54,0.0704840407468244,"x2"
"71",3.57142857142857,0,0,"x1"
"72",3.57142857142857,0.56,0.070199715099137,"x2"
"73",3.6734693877551,0,0,"x1"
"74",3.6734693877551,0.56,0.070199715099137,"x2"
"75",3.77551020408163,0,0,"x1"
"76",3.77551020408163,0.58,0.0697997134664606,"x2"
"77",3.87755102040816,0,0,"x1"
"78",3.87755102040816,0.58,0.0697997134664606,"x2"
"79",3.97959183673469,0,0,"x1"
"80",3.97959183673469,0.6,0.0692820323027551,"x2"
"81",4.08163265306122,0,0,"x1"
"82",4.08163265306122,0.6,0.0692820323027551,"x2"
"83",4.18367346938776,0,0,"x1"
"84",4.18367346938776,0.6,0.0692820323027551,"x2"
"85",4.28571428571429,0,0,"x1"
"86",4.28571428571429,0.6,0.0692820323027551,"x2"
"87",4.38775510204082,0,0,"x1"
"88",4.38775510204082,0.58,0.0697997134664606,"x2"
"89",4.48979591836735,0,0,"x1"
"90",4.48979591836735,0.54,0.0704840407468244,"x2"
"91",4.59183673469388,0,0,"x1"
"92",4.59183673469388,0.44,0.070199715099137,"x2"
"93",4.69387755102041,0,0,"x1"
"94",4.69387755102041,0.22,0.0585832740635072,"x2"
"95",4.79591836734694,0,0,"x1"
"96",4.79591836734694,0,0,"x2"
"97",4.89795918367347,0,0,"x1"
"98",4.89795918367347,0,0,"x2"
"99",5,0,0,"x1"
"100",5,0,0,"x2"
