"","x1","x2","f1","f2","f1.norm","f2.norm"
"2",0.828921886218584,1.06016616862706,5.94194948287031,19.3208856207753,0,1
"6",0.679988277995917,1.13971300421299,7.537328703193,17.7074500612657,0.0169846827134401,0.798039622616696
"10",0.780320726130864,1.20201592082579,9.42107154576149,16.5430906771105,0.0370393343518564,0.6522919605872
"8",0.859273795483198,1.26111230072284,11.9772878925895,15.5931321968179,0.0642532550578069,0.533381743164772
"21",0.881460434654326,1.30126556797972,13.8961396616602,15.0637629678751,0.084681682391339,0.46711841543392
"14",0.944659289508902,1.29471167966583,14.0013226804592,15.059426610135,0.0858014789753646,0.466575615666989
"29",0.915335373978022,1.332389845279,15.6105882360748,14.6721505065062,0.102933998012607,0.418098669947396
"28",0.928941533283269,1.33218551005823,15.6940534724483,14.6542687973823,0.103822583334108,0.415860342732134
"19",0.957595637391986,1.34683453696102,16.6573113824247,14.4623132485684,0.114077593405538,0.391832475705912
"9",0.934807977780037,1.38909423241641,18.7135178844355,14.114477458524,0.135968322948137,0.348292436557315
"17",1.08010342414257,1.39784546692812,20.6887844532916,13.8145983502763,0.156997351983441,0.310755332881801
"31",1.04278229977471,1.41087992131081,20.9465919645124,13.762604515609,0.159742015273177,0.304247050348221
"25",1.04794902899849,1.43771968641558,22.5283922751339,13.5570553633202,0.176582134568759,0.278517615960595
"26",1.07987425458431,1.43143054597778,22.5692030178169,13.5499603609929,0.177016612783682,0.277629505283282
"4",1.0439696079569,1.44594925800375,22.9556534239709,13.508725887094,0.181130830550463,0.272468016272618
"18",1.07135130479427,1.48448724724542,25.5579992209236,13.2331615158554,0.208835853349341,0.237974488420996
"30",1.13362680903875,1.47291976722588,25.7490066435682,13.1916092232943,0.210869351359222,0.232773216738766
"7",1.16613617175806,1.49672486319054,27.6888127468427,13.0056988046571,0.231520862153657,0.209502043566613
"22",1.23810422687388,1.52084286965791,30.4502934942742,12.77118632305,0.260920063119125,0.18014714990054
"3",1.31780125090342,1.54972167891133,33.9045311873183,12.5238653737694,0.297694474171873,0.149188967556593
"27",1.32899825754926,1.54848457230085,34.0850365226637,12.5128564598378,0.299616165146577,0.147810936435919
"20",1.40232458468372,1.58561459620482,38.1942784273156,12.2707718532306,0.343363864160212,0.117508208681524
"5",1.52174262192589,1.55175398232908,39.4937345568743,12.2692285272321,0.357198098541255,0.117315024206789
"24",1.49139663886077,1.62661343238229,43.2417017214788,12.0338939854518,0.397099604277505,0.0878572298814167
"15",1.56952658677705,1.66559889348708,48.1248600163727,11.8565289674722,0.449086550842786,0.0656557197221612
"1",1.66666666666667,1.66666666666667,51.5648148148149,11.7435242405532,0.48570890373284,0.0515104524010447
"11",1.82370567398161,1.64723570101456,56.5983257551541,11.6650819078387,0.539296530528555,0.0416915023819548
"12",1.74969635211209,1.76336625783919,60.7400856056684,11.5867752930364,0.583390421209933,0.0318895407331807
"13",1.89956923001165,1.71968206426204,64.4952472828612,11.4696888528294,0.623368520969744,0.0172333485405029
"16",2.05296646219671,1.7468571361574,73.6963273687642,11.3650441895001,0.721324808659391,0.00413454482778581
"23",2.3736047236392,1.87160091653235,99.8724189087284,11.3320138410032,1,0
