"","x","prob","var","ncond"
"1",0,0.540960414650245,"x1",0
"2",0.102040816326531,0.570581479590079,"x1",0
"3",0.204081632653061,0.621149665159311,"x1",0
"4",0.306122448979592,0.641926420836299,"x1",0
"5",0.408163265306122,0.648119306915253,"x1",0
"6",0.510204081632653,0.632132159166067,"x1",0
"7",0.612244897959184,0.657167306310293,"x1",0
"8",0.714285714285714,0.65891280240695,"x1",0
"9",0.816326530612245,0.671599821835698,"x1",0
"10",0.918367346938776,0.641834091863018,"x1",0
"11",1.02040816326531,0.668289117258336,"x1",0
"12",1.12244897959184,0.650347183364904,"x1",0
"13",1.22448979591837,0.648523856144251,"x1",0
"14",1.3265306122449,0.637731042331084,"x1",0
"15",1.42857142857143,0.636989094451672,"x1",0
"16",1.53061224489796,0.62525306141351,"x1",0
"17",1.63265306122449,0.620674554109811,"x1",0
"18",1.73469387755102,0.577227113627985,"x1",0
"19",1.83673469387755,0.583524909330834,"x1",0
"20",1.93877551020408,0.579444664441468,"x1",0
"21",2.04081632653061,0.548320781464372,"x1",0
"22",2.14285714285714,0.551558765805484,"x1",0
"23",2.24489795918367,0.50207414559128,"x1",0
"24",2.3469387755102,0.492211312910486,"x1",0
"25",2.44897959183673,0.46325486137656,"x1",0
"26",2.55102040816327,0.418026956999504,"x1",0
"27",2.6530612244898,0.379846727000826,"x1",0
"28",2.75510204081633,0.344989601545746,"x1",0
"29",2.85714285714286,0.331158133444894,"x1",0
"30",2.95918367346939,0.25959468739127,"x1",0
"31",3.06122448979592,0.203276701608006,"x1",0
"32",3.16326530612245,0.138633293017564,"x1",0
"33",3.26530612244898,0.110143031573542,"x1",0
"34",3.36734693877551,0.0914884453166716,"x1",0
"35",3.46938775510204,0.0798132000685738,"x1",0
"36",3.57142857142857,0.0611505658453608,"x1",0
"37",3.6734693877551,0.0505083937945487,"x1",0
"38",3.77551020408163,0.0374162924241659,"x1",0
"39",3.87755102040816,0.0320940797911772,"x1",0
"40",3.97959183673469,0.0298860218274351,"x1",0
"41",4.08163265306122,0.0234482315824131,"x1",0
"42",4.18367346938776,0.019823145841328,"x1",0
"43",4.28571428571429,0.0200570075113989,"x1",0
"44",4.38775510204082,0.0175469491148845,"x1",0
"45",4.48979591836735,0.0180645734687228,"x1",0
"46",4.59183673469388,0.0166707561941783,"x1",0
"47",4.69387755102041,0.0168030320679387,"x1",0
"48",4.79591836734694,0.0167503394367232,"x1",0
"49",4.89795918367347,0.0172409601703958,"x1",0
"50",5,0.0176698692558809,"x1",0
"51",0,0,"x2",0
"52",0.102040816326531,7.53254876093467e-10,"x2",0
"53",0.204081632653061,0.000313501979280609,"x2",0
"54",0.306122448979592,0.00434359405007778,"x2",0
"55",0.408163265306122,0.0107619483586099,"x2",0
"56",0.510204081632653,0.0121904539301883,"x2",0
"57",0.612244897959184,0.00844697336085044,"x2",0
"58",0.714285714285714,0.00144275753069298,"x2",0
"59",0.816326530612245,0.000149075098630872,"x2",0
"60",0.918367346938776,0.31920501740759,"x2",0
"61",1.02040816326531,0.355383604070631,"x2",0
"62",1.12244897959184,0.42022513675576,"x2",0
"63",1.22448979591837,0.479233236915285,"x2",0
"64",1.3265306122449,0.581963226366988,"x2",0
"65",1.42857142857143,0.616152176792052,"x2",0
"66",1.53061224489796,0.643437723360634,"x2",0
"67",1.63265306122449,0.607736529660728,"x2",0
"68",1.73469387755102,0.648475361722846,"x2",0
"69",1.83673469387755,0.741271560335862,"x2",0
"70",1.93877551020408,0.724528913077101,"x2",0
"71",2.04081632653061,0.181967743615892,"x2",0
"72",2.14285714285714,0.0933480946683143,"x2",0
"73",2.24489795918367,0.0356537396530616,"x2",0
"74",2.3469387755102,0.0467642592986656,"x2",0
"75",2.44897959183673,0.132015753132169,"x2",0
"76",2.55102040816327,0.532952962900511,"x2",0
"77",2.6530612244898,0.449613923642136,"x2",0
"78",2.75510204081633,0.372154971356327,"x2",0
"79",2.85714285714286,0.349134167730721,"x2",0
"80",2.95918367346939,0.343629841757137,"x2",0
"81",3.06122448979592,0.417937427875711,"x2",0
"82",3.16326530612245,0.435618319046845,"x2",0
"83",3.26530612244898,0.437073191769091,"x2",0
"84",3.36734693877551,0.532281765270375,"x2",0
"85",3.46938775510204,0.509288631121935,"x2",0
"86",3.57142857142857,0.573976615207849,"x2",0
"87",3.6734693877551,0.51293356372561,"x2",0
"88",3.77551020408163,0.544970977466404,"x2",0
"89",3.87755102040816,0.606205657728938,"x2",0
"90",3.97959183673469,0.614302721986122,"x2",0
"91",4.08163265306122,0.592437052910646,"x2",0
"92",4.18367346938776,0.587195671048675,"x2",0
"93",4.28571428571429,0.567368881894596,"x2",0
"94",4.38775510204082,0.495984302759783,"x2",0
"95",4.48979591836735,0.459451761223187,"x2",0
"96",4.59183673469388,0.467187673210693,"x2",0
"97",4.69387755102041,0.227946014947916,"x2",0
"98",4.79591836734694,0.0921474109654328,"x2",0
"99",4.89795918367347,0.0200010581617676,"x2",0
"100",5,0,"x2",0
"101",0,0.719018026080736,"x1",1
"102",0.102040816326531,0.752836132092564,"x1",1
"103",0.204081632653061,0.795374204034767,"x1",1
"104",0.306122448979592,0.817638735044862,"x1",1
"105",0.408163265306122,0.837039777137612,"x1",1
"106",0.510204081632653,0.840217678636393,"x1",1
"107",0.612244897959184,0.831300743674173,"x1",1
"108",0.714285714285714,0.833105361294245,"x1",1
"109",0.816326530612245,0.833974535920941,"x1",1
"110",0.918367346938776,0.829277782189841,"x1",1
"111",1.02040816326531,0.821264152018055,"x1",1
