"","x1","x2","f1","f2","order","f1.norm","f2.norm","dist","theta","rad"
"1",0,0,15.25,8.5,0,0.218009517863413,2.64759389671371,2.06713735351326,94.7697128745138,2.65655445865405
"2",2.5,0,65.25,2.25,0,0.933351772499786,0.697606363558637,0.832542029518969,40.8613294969536,1.16524682780345
"3",5,0,365.25,8.5,0,5.22540530031802,2.64759389671371,5.50547153708957,29.8558831169863,5.8578677003247
"4",0,2.5,20.25,7.25,0,0.28954374332705,2.2575963900827,1.74869460431504,91.8794846164685,2.27608810018731
"5",2.5,2.5,70.25,1,0,1.00488599796342,0.307608856927622,0.655587028143864,18.9111560955648,1.0509134492256
"6",5,2.5,370.25,7.25,0,5.29693952578166,2.2575963900827,5.39228999471133,25.6489733840022,5.75797792634728
"7",0,5,75.25,18.5,0,1.07642022342706,5.76757394976184,5.39051733325574,88.253705437427,5.86716198543846
"8",2.5,5,125.25,12.25,0,1.79176247806343,3.81758641660676,3.85018269364806,72.0636155719244,4.21715292893872
"9",5,5,425.25,18.5,0,6.08381600588167,5.76757394976184,8.05416141113758,48.3016491457618,8.3831811658459
"10",2.39281050977297,1.98249197390396,57.8376893355534,0.244288091696871,0,0.827304992044376,0.0718282489519528,0.295103020257495,5.5134324788638,0.830417272947191
"11",0.871147068100981,0.866677380981855,0.364631925156706,3.05425941351603,0,0.00504686266839932,0.948533696323257,0,99.6612769523222,0.948547122647818
"12",0.47065414080862,0.789605939062312,1.73774482445882,4.62290433803274,0,0.0246917762135405,1.43794778380399,0.640884562954848,98.906933311582,1.43815976607586
"13",1.66609064384829,2.39284489303827,24.5445089391788,1.49257681730188,0,0.350984617469215,0.461291841385202,0.244270673485367,58.5927386513113,0.579638132483157
"14",1.88329657772556,1.47843471029773,26.60282174976,0.38078817276495,0,0.380432580002576,0.114416001969139,0.000287242748681693,18.598649537687,0.39726561572079
