"","x1","x2","f1","f2","order","f1.norm","f2.norm","dist","theta"
"1",0,0,15.25,8.5,0,0.237990304098722,2.62931034482759,2.04491974118203,94.2533375191261
"2",0.833333333333333,0,4.13888888888889,5.02777777777778,0,0.0617011899515205,1.55172413793104,0.745903614461032,97.4699423533447
"3",1.66666666666667,0,20.8055555555556,2.94444444444444,0,0.326134861172323,0.905172413793103,0.552469962200523,77.984265496596
"4",2.5,0,65.25,2.25,0,1.03129131776113,0.689655172413794,0.875193286379861,37.5242489285255
"5",3.33333333333333,0,137.472222222222,2.94444444444444,0,2.17717055971793,0.905172413793103,1.96830145954618,25.0837858450398
"6",4.16666666666667,0,237.472222222222,5.02777777777778,0,3.76377258704275,1.55172413793104,3.68105041515395,24.8948023957081
"7",5,0,365.25,8.5,0,5.79109739973556,2.62931034482759,5.97571122720332,27.1325516655268
"8",0,0.833333333333333,11.3611111111111,6.69444444444444,0,0.176289114147201,2.06896551724138,1.46464182306326,94.5886621905135
"9",0.833333333333333,0.833333333333333,0.25,3.22222222222222,0,0,0.991379310344828,0,100
"10",1.66666666666667,0.833333333333333,16.9166666666667,1.13888888888889,0,0.264433671220803,0.344827586206897,0.0861953803775373,58.352143852164
"11",2.5,0.833333333333333,61.3611111111111,0.444444444444444,0,0.969590127809607,0.129310344827586,0.450981478507905,8.44053513797372
"12",3.33333333333333,0.833333333333333,133.583333333333,1.13888888888889,0,2.11546936976641,0.344827586206897,1.64007754440148,10.2866169805041
"13",4.16666666666667,0.833333333333333,233.583333333333,3.22222222222222,0,3.70207139709122,0.991379310344828,3.39471320562965,16.6572365168095
"14",5,0.833333333333333,361.361111111111,6.69444444444444,0,5.72939620978404,2.06896551724138,5.69326220727529,22.061515282101
"15",0,1.66666666666667,13.0277777777778,6.27777777777778,0,0.202732481269282,1.9396551724138,1.39377608105917,93.3701317560804
"16",0.833333333333333,1.66666666666667,1.91666666666667,2.80555555555555,0,0.0264433671220803,0.86206896551724,0,98.0478251605218
"17",1.66666666666667,1.66666666666667,18.5833333333333,0.722222222222222,0,0.290877038342882,0.21551724137931,0,40.595073687441
"18",2.5,1.66666666666667,63.0277777777778,0.0277777777777778,0,0.996033494931688,0,0,0
"19",3.33333333333333,1.66666666666667,135.25,0.722222222222222,0,2.1419127368885,0.21551724137931,1.59553301302941,6.38412132803873
"20",4.16666666666667,1.66666666666667,235.25,2.80555555555556,0,3.72851476421331,0.862068965517243,3.36905852953987,14.4650868686261
"21",5,1.66666666666667,363.027777777778,6.27777777777778,0,5.75583957690613,1.9396551724138,5.66750503094065,20.6925059863153
"22",0,2.5,20.25,7.25,0,0.317320405464962,2.24137931034483,1.73833204572364,91.0466384591284
"23",0.833333333333333,2.5,9.13888888888889,3.77777777777778,0,0.141031291317761,1.16379310344828,0.630628568131608,92.3227207850997
"24",1.66666666666667,2.5,25.8055555555556,1.69444444444444,0,0.405464962538564,0.517241379310344,0.309868392964511,57.674600702989
"25",2.5,2.5,70.25,1,0,1.11062141912737,0.301724137931035,0.715048195779382,16.8875531287905
"26",3.33333333333333,2.5,142.472222222222,1.69444444444444,0,2.25650066108417,0.517241379310344,1.85603940586041,14.3449598507593
"27",4.16666666666667,2.5,242.472222222222,3.77777777777778,0,3.84310268840899,1.16379310344828,3.59451105636714,18.7196666890531
"28",5,2.5,370.25,7.25,0,5.8704275011018,2.24137931034483,5.88899890955476,23.2192033166364
