"","x1","x2","f1","f2","f1.norm","f2.norm"
"1",0.833333333333333,0.833333333333333,0.25,3.22222222222222,0,0.991379310344828
"2",0.833333333333333,1.66666666666667,1.91666666666667,2.80555555555555,0.0264433671220803,0.86206896551724
"12",1.16201879581335,1.3468318158314,3.87635899596128,1.81365419539827,0.0575358853479974,0.554237508916705
"5",1.18029022800038,1.25319647171924,3.95942741941662,1.80254586388313,0.0588538506386066,0.550790095687868
"7",1.42337420317309,1.49481335105918,10.0480173595255,1.15915000772042,0.155455542063869,0.351115519637372
"10",1.56942884772115,1.29804998219008,13.7846078970863,0.90674647914701,0.214740363285635,0.272783390080107
"3",1.66666666666667,1.66666666666667,18.5833333333333,0.722222222222222,0.290877038342882,0.21551724137931
"8",1.8295162902063,1.40646594144307,23.9679666626283,0.458297025208851,0.376309739909484,0.13360942161654
"6",2.07255819690686,1.36819497677131,35.525473847789,0.20007905917983,0.559681383217454,0.0534728114696024
"11",2.06877588575667,1.55290055436688,36.0061928291425,0.188752705357269,0.567308480321344,0.0499577361453594
"9",2.36501224389317,1.36803559930036,52.7070917679065,0.0356362973507733,0.832285281465242,0.00243885090196412
"4",2.5,1.66666666666667,63.0277777777778,0.0277777777777778,0.996033494931688,0
