"","QuinoneCode","R2","R3","R5","R6","E0.1","E0.2","Pka.2","Pka.1","p.accept"
"73",74,"CH2CH3","H","H","CH2CH3",-0.142,-0.143,11.73,10.19,0.783184289958799
"74",75,"OH","H","H","OH",-0.034,-0.06,10.68,8.43,0.754006078593001
"75",76,"OCH2CH3","H","H","OCH2CH3",-0.173,-0.167,11.66,8.91,0.759115992765668
"76",77,"F","H","H","F",0.382,0.286,7.34,4.21,0.0478675097741233
"77",78,"Cl","H","H","Cl",0.389,0.35,7.24,3.34,0.0408145001807501
"78",79,"Br","H","H","Br",0.387,0.358,8.25,3.97,0.185757803772184
"79",80,"SH","H","H","SH",0.135,0.149,8.77,4.94,0.516394879486099
"80",81,"SiH3","H","H","SiH3",0.203,0.148,10.1,4.77,0.779255178046711
"81",82,"CHO","H","H","CHO",0.634,0.673,7.67,4.76,0.0750288071130305
"82",83,"COOCH3","H","H","COOCH3",0.518,0.437,8.86,6.76,0.583899066986281
"83",84,"CF3","H","H","CF3",0.62,0.496,7.67,0.4,0.144310480472042
"84",85,"CN","H","H","CN",0.815,0.734,6.61,-3.25,0.21355853107031
"85",86,"COOH","H","H","COOH",0.988,-0.106,7.75,6.01,0.0993976426416157
"86",87,"SO3-","H","H","SO3-",0.302,0.269,9.73,8,0.701866862725962
"87",88,"NO2","H","H","NO2",0.944,1.081,3.03,-1.87,0.195547856919733
"88",89,"COCH3","H","H","COCH3",0.375,0.513,9.33,6.95,0.691958442117646
"89",90,"C6H5","C6H5","C6H5","H",-0.024,0.014,11.12,8.93,0.784531830993057
"90",91,"CH3","CH3","CH3","H",-0.211,-0.192,12.18,11.04,0.770277511196116
"91",93,"OCH3","OCH3","OCH3","H",-0.213,-0.01,10.97,8.19,0.764322708832238
"92",94,"N(CH3)2","N(CH3)2","N(CH3)2","H",-0.699,-0.262,15.34,13.41,0.777347328725421
"93",96,"CH2CH3","CH2CH3","CH2CH3","H",-0.223,-0.205,12.45,11.38,0.751100717723282
"94",97,"OH","OH","OH","H",-0.079,-0.03,9.78,7.06,0.722481152943082
"95",98,"OCH2CH3","OCH2CH3","OCH2CH3","H",-0.29,0.048,11.02,8.8,0.763963792861685
"96",99,"F","F","F","H",0.499,0.405,5.21,2.88,0.0338271769942001
"97",100,"Cl","Cl","Cl","H",0.472,0.472,5.2,2.46,0.041963466951938
"98",101,"Br","Br","Br","H",0.462,0.477,5.86,2.61,0.031176890534613
"99",102,"SH","SH","SH","H",0.117,0.217,8.12,2.82,0.14126733510058
"100",103,"SiH3","SiH3","SiH3","H",0.233,0.272,7.51,4.61,0.0623018573824782
"101",104,"CHO","CHO","CHO","H",0.796,0.978,6.25,3.2,0.0225260144889236
"102",105,"COOCH3","COOCH3","COOCH3","H",0.586,0.559,9.35,6.91,0.695838904801658
"103",106,"CF3","CF3","CF3","H",0.845,0.748,4.12,-1.47,0.187898448304572
"104",107,"CN","CN","CN","H",1.178,1.122,-0.55,-5.62,0.265037369606623
"105",108,"COOH","COOH","COOH","H",1.149,-0.065,8.42,5.92,0.278049756412852
"106",109,"SO3-","SO3-","SO3-","H",0.256,0.353,12.19,8.01,0.773136113320843
"107",110,"NO2","NO2","NO2","H",1.261,1.51,-3.92,-4.13,0.294408948280578
"108",111,"COCH3","COCH3","COCH3","H",0.557,0.518,11.08,1.13,0.746066469296493
"109",112,"C6H5","C6H5","C6H5","C6H5",-0.084,0.009,10.74,9.48,0.755246219711736
"110",113,"CH3","CH3","CH3","CH3",-0.084,0.009,10.74,9.48,0.756588710062847
"111",115,"OCH3","OCH3","OCH3","OCH3",-0.229,0.111,9.42,8.27,0.682390764736808
"112",119,"OH","OH","OH","OH",-0.077,-0.039,8.14,6.62,0.198091409772018
"113",120,"OCH2CH3","OCH2CH3","OCH2CH3","OCH2CH3",-0.305,0.238,10.93,8.01,0.784513646735263
"114",121,"F","F","F","F",0.638,0.531,2.9,2.07,0.0799511176283328
"115",122,"Cl","Cl","Cl","Cl",0.564,0.588,2.93,0.73,0.128724636339094
"116",123,"Br","Br","Br","Br",0.539,0.581,3.37,2.03,0.0723454618310113
"117",124,"SH","SH","SH","SH",0.111,0.279,4.96,3.76,0.0359409517986812
"118",125,"SiH3","SiH3","SiH3","SiH3",0.247,0.322,5.89,3.35,0.0245775818731327
"119",126,"CHO","CHO","CHO","CHO",0.873,1.005,5.4,4.14,0.0231688031143437
"120",127,"COOCH3","COOCH3","COOCH3","COOCH3",0.744,0.68,6.66,4.84,0.0248945210514389
"121",128,"CF3","CF3","CF3","CF3",0.972,0.902,0,-3.53,0.241813034941931
"122",129,"CN","CN","CN","CN",1.48,1.43,-6.21,-8.33,0.314197137932937
"123",130,"COOH","COOH","COOH","COOH",1.278,0.068,5.82,4.56,0.0243039292985957
"124",131,"SO3-","SO3-","SO3-","SO3-",0.084,0.348,11.15,10.14,0.744601797862607
"125",132,"NO2","NO2","NO2","NO2",1.613,1.662,-6.64,-7.09,0.312909183555965
"126",133,"COCH3","COCH3","COCH3","COCH3",0.663,0.657,3.66,3.27,0.0507462242374487
"127",134,"CN","CN","Cl","Cl",1.096,1.079,-2.05,-4.82,0.279939881586753
