"","group","probs","E01","E02","type","str"
"97","OCH2CH3",0.784513646735263,-0.305,0.238,"Donating",6
"98","OCH2CH3",0.757526264903472,-0.285,-0.19,"Donating",6
"99","OCH2CH3",0.763963792861685,-0.29,0.048,"Donating",6
"100","OCH2CH3",0.784513646735263,-0.305,0.238,"Donating",6
"101","OCH2CH3",0.759115992765668,-0.173,-0.167,"Donating",6
"102","OCH2CH3",0.784513646735263,-0.305,0.238,"Donating",6
"103","F",0.668065743841137,0.231,0.153,"Withdrawing",-1
"104","F",0.0260515488525961,0.374,0.282,"Withdrawing",-1
"105","F",0.0319810021276353,0.344,0.27,"Withdrawing",-1
"106","F",0.0478675097741233,0.382,0.286,"Withdrawing",-1
"107","F",0.0338271769942001,0.499,0.405,"Withdrawing",-1
"108","F",0.0799511176283328,0.638,0.531,"Withdrawing",-1
"109","F",0.0260515488525961,0.374,0.282,"Withdrawing",-1
"110","F",0.0338271769942001,0.499,0.405,"Withdrawing",-1
"111","F",0.0799511176283328,0.638,0.531,"Withdrawing",-1
"112","F",0.0319810021276353,0.344,0.27,"Withdrawing",-1
"113","F",0.0338271769942001,0.499,0.405,"Withdrawing",-1
"114","F",0.0799511176283328,0.638,0.531,"Withdrawing",-1
"115","F",0.0478675097741233,0.382,0.286,"Withdrawing",-1
"116","F",0.0799511176283328,0.638,0.531,"Withdrawing",-1
"117","Cl",0.667248637363334,0.242,0.195,"Withdrawing",-1
"118","Cl",0.0239738076966581,0.342,0.32,"Withdrawing",-1
"119","Cl",0.0273054632237088,0.372,0.356,"Withdrawing",-1
"120","Cl",0.0408145001807501,0.389,0.35,"Withdrawing",-1
"121","Cl",0.041963466951938,0.472,0.472,"Withdrawing",-1
"122","Cl",0.128724636339094,0.564,0.588,"Withdrawing",-1
"123","Cl",0.0239738076966581,0.342,0.32,"Withdrawing",-1
"124","Cl",0.041963466951938,0.472,0.472,"Withdrawing",-1
"125","Cl",0.128724636339094,0.564,0.588,"Withdrawing",-1
"126","Cl",0.0273054632237088,0.372,0.356,"Withdrawing",-1
"127","Cl",0.041963466951938,0.472,0.472,"Withdrawing",-1
"128","Cl",0.128724636339094,0.564,0.588,"Withdrawing",-1
"129","Cl",0.279939881586753,1.096,1.079,"Withdrawing",-1
"130","Cl",0.0408145001807501,0.389,0.35,"Withdrawing",-1
"131","Cl",0.128724636339094,0.564,0.588,"Withdrawing",-1
"132","Cl",0.279939881586753,1.096,1.079,"Withdrawing",-1
"133","Br",0.719394095163467,0.243,0.191,"Withdrawing",-1
"134","Br",0.0420583844236027,0.33,0.315,"Withdrawing",-1
"135","Br",0.0325920389446375,0.377,0.352,"Withdrawing",-1
"136","Br",0.185757803772184,0.387,0.358,"Withdrawing",-1
"137","Br",0.031176890534613,0.462,0.477,"Withdrawing",-1
"138","Br",0.0723454618310113,0.539,0.581,"Withdrawing",-1
"139","Br",0.0420583844236027,0.33,0.315,"Withdrawing",-1
"140","Br",0.031176890534613,0.462,0.477,"Withdrawing",-1
"141","Br",0.0723454618310113,0.539,0.581,"Withdrawing",-1
"142","Br",0.0325920389446375,0.377,0.352,"Withdrawing",-1
"143","Br",0.031176890534613,0.462,0.477,"Withdrawing",-1
"144","Br",0.0723454618310113,0.539,0.581,"Withdrawing",-1
"145","Br",0.185757803772184,0.387,0.358,"Withdrawing",-1
"146","Br",0.0723454618310113,0.539,0.581,"Withdrawing",-1
"147","SH",0.751674114774622,0.11,0.086,"?",NA
"148","SH",0.287399938522709,0.112,0.851,"?",NA
"149","SH",0.370397022214381,0.1,0.136,"?",NA
"150","SH",0.516394879486099,0.135,0.149,"?",NA
"151","SH",0.14126733510058,0.117,0.217,"?",NA
"152","SH",0.0359409517986812,0.111,0.279,"?",NA
"153","SH",0.287399938522709,0.112,0.851,"?",NA
"154","SH",0.14126733510058,0.117,0.217,"?",NA
"155","SH",0.0359409517986812,0.111,0.279,"?",NA
"156","SH",0.370397022214381,0.1,0.136,"?",NA
"157","SH",0.14126733510058,0.117,0.217,"?",NA
"158","SH",0.0359409517986812,0.111,0.279,"?",NA
"159","SH",0.516394879486099,0.135,0.149,"?",NA
"160","SH",0.0359409517986812,0.111,0.279,"?",NA
"161","SiH3",0.746794388653259,0.156,0.07,"?",NA
"162","SiH3",0.155056012520217,0.191,0.237,"?",NA
"163","SiH3",0.65113773596073,0.194,0.151,"?",NA
