"","rng","area","var","sd","rank","uncert","region"
"1",0.423500491478387,10.3447855242219,"pka1",2.38168240847719,0.0409385472987118,0.00942529138972046,"Full Viable Region"
"2",0.481991619863336,6.78278309869325,"pka2",1.75373073551874,0.0710610398195094,0.0183732735981789,"Full Viable Region"
"3",0.346098539709397,11.6106206430199,"logA",3.17388924233987,0.0298087888968679,0.00814855616386254,"Full Viable Region"
"4",0.309447870541264,11.8340569703016,"Na.A",3.54605722165527,0.0261489252010401,0.00783548577469021,"Full Viable Region"
"5",0.0983459232978172,0.535172449122876,"Base",0.112214148802901,0.00735059687463372,0.00154126202279688,"Full Viable Region"
"6",0.0505672633222475,2.98469017736622,"pka1",0.865174650293399,0.0169422152107156,0.00491105416276774,"Maximum Flux"
"7",0.0601939808277481,2.90778699334108,"pka2",0.933977999927278,0.0207009595151207,0.00664912554075797,"Maximum Flux"
"8",0.159077192986091,1.60230559541751,"logA",0.508550617387488,0.0992801831567221,0.0315102178904505,"Maximum Flux"
"9",0.0282892816069387,2.84706643439993,"Na.A",0.92690189418172,0.00993629135770453,0.0032348972153644,"Maximum Flux"
"10",0.000418009688818818,0.155420382925721,"Base",0.0250959411796123,0.000107581690625121,1.73713622956495e-05,"Maximum Flux"
"11",0.336981062946901,8.7900611515937,"pka1",2.12772479798891,0.0383366005236271,0.00927976884323801,"Minimum Energy"
"12",0.409916802425827,5.62311813820206,"pka2",1.48311609592663,0.072898486631635,0.0192272181083216,"Minimum Energy"
"13",0.28801247239139,9.63375412347211,"logA",2.82987672648595,0.0298961825992283,0.00878188401572352,"Minimum Energy"
"14",0.24780252634481,9.82356888757453,"Na.A",3.07039904720678,0.0252253055056444,0.00788427860347133,"Minimum Energy"
"15",0.0762562231624999,0.450804236339211,"Base",0.0903293446938648,0.00676623838158613,0.00135577669813923,"Minimum Energy"
