"","marg.p","marg.s","marg.var","marg.name","marg.typ"
"1",3.22369954119986e-17,2.15635746844895e-09,2,"pka2","+Base"
"2",3.54787952524662e-21,3.09482563621103e-09,2.22972972972973,"pka2","+Base"
"3",2.87995529245429e-21,5.77466353839174e-10,2.45945945945946,"pka2","+Base"
"4",0,1.78713426638622e-10,2.68918918918919,"pka2","+Base"
"5",0,5.23642230471321e-11,2.91891891891892,"pka2","+Base"
"6",0,5.05817186058416e-11,3.14864864864865,"pka2","+Base"
"7",0,1.30680475946022e-11,3.37837837837838,"pka2","+Base"
"8",0,9.07867094714347e-12,3.60810810810811,"pka2","+Base"
"9",0,6.52087398948252e-12,3.83783783783784,"pka2","+Base"
"10",0,3.84169083987583e-12,4.06756756756757,"pka2","+Base"
"11",0,4.49770827811404e-12,4.2972972972973,"pka2","+Base"
"12",0,4.11210239397808e-12,4.52702702702703,"pka2","+Base"
"13",0,4.70294779585028e-12,4.75675675675676,"pka2","+Base"
"14",0,5.31868946540775e-12,4.98648648648649,"pka2","+Base"
"15",0,6.57863656504417e-12,5.21621621621622,"pka2","+Base"
"16",0,1.77963759370082e-11,5.44594594594595,"pka2","+Base"
"17",0,2.94497600172719e-11,5.67567567567568,"pka2","+Base"
"18",0,4.32865778949263e-11,5.90540540540541,"pka2","+Base"
"19",5.40818985269998e-27,1.00602449990261e-10,6.13513513513514,"pka2","+Base"
"20",1.04968040965813e-27,9.74826787561524e-11,6.36486486486486,"pka2","+Base"
"21",6.97727012020615e-24,8.98027789655552e-10,6.59459459459459,"pka2","+Base"
"22",1.08458133146828e-18,1.16596498686221e-10,6.82432432432432,"pka2","+Base"
"23",4.90994356332349e-15,1.00802249232527e-10,7.05405405405405,"pka2","+Base"
"24",3.32595752933023e-13,8.26774015472997e-10,7.28378378378378,"pka2","+Base"
"25",4.9777897393492e-15,3.53231298773704e-09,7.51351351351351,"pka2","+Base"
"26",2.71455810603067e-11,2.55050371771653e-07,7.74324324324324,"pka2","+Base"
"27",1.9593416952419e-09,1.01273496509607e-05,7.97297297297297,"pka2","+Base"
"28",3.40806773910918e-08,5.19746609474451e-05,8.2027027027027,"pka2","+Base"
"29",1.9190755786261e-07,0.00018540526165217,8.43243243243243,"pka2","+Base"
"30",1.94081336938901e-06,0.000344603331112678,8.66216216216216,"pka2","+Base"
"31",6.64054546669347e-06,0.000321883908935377,8.89189189189189,"pka2","+Base"
"32",4.07749758480552e-05,0.000654310698981457,9.12162162162162,"pka2","+Base"
"33",0.000358537144691296,0.00121778138679571,9.35135135135135,"pka2","+Base"
"34",0.00019102462777401,0.00286245007933066,9.58108108108108,"pka2","+Base"
"35",0.00287782623265321,0.00364972864289043,9.81081081081081,"pka2","+Base"
"36",0.0034141660385299,0.00444377224696882,10.0405405405405,"pka2","+Base"
"37",0.00568003032232138,0.00526885353086754,10.2702702702703,"pka2","+Base"
"38",0.00479908166359663,0.00668168058624904,10.5,"pka2","+Base"
"39",0.0066386278726853,0.00654388412496031,10.7297297297297,"pka2","+Base"
"40",0.00616974800676397,0.00641831088150361,10.9594594594595,"pka2","+Base"
"41",0.00893485451157893,0.0046904331770619,11.1891891891892,"pka2","+Base"
"42",0.00506755632659065,0.00597431665818025,11.4189189189189,"pka2","+Base"
"43",0.00780290117199739,0.00389860370321046,11.6486486486486,"pka2","+Base"
"44",0.00506986491903337,0.00378298878762346,11.8783783783784,"pka2","+Base"
"45",0.00502422828340191,0.00579970438154531,12.1081081081081,"pka2","+Base"
"46",0.00729407181773326,0.00570391072090144,12.3378378378378,"pka2","+Base"
"47",0.0044578321018309,0.00663701072781996,12.5675675675676,"pka2","+Base"
"48",0.00566656243658012,0.00574893785896305,12.7972972972973,"pka2","+Base"
"49",0.00451302864139465,0.00689878160301358,13.027027027027,"pka2","+Base"
"50",0.00663030251137332,0.0083545782544746,13.2567567567568,"pka2","+Base"
"51",0.0105404573631342,0.00832155948556013,13.4864864864865,"pka2","+Base"
"52",0.00970966471901914,0.00857550895466403,13.7162162162162,"pka2","+Base"
"53",0.0172338448511741,0.00716333004020437,13.9459459459459,"pka2","+Base"
"54",0.00948055648883818,0.0073036560190232,14.1756756756757,"pka2","+Base"
"55",0.0246083229704623,0.00466283157200626,14.4054054054054,"pka2","+Base"
"56",0.0521757389341753,0.0045057400456439,14.6351351351351,"pka2","+Base"
"57",0.0287176113377132,0.00339796085584147,14.8648648648649,"pka2","+Base"
"58",0.0380280032604992,0.00344310656175132,15.0945945945946,"pka2","+Base"
"59",0.0498009481755687,0.00351301654301805,15.3243243243243,"pka2","+Base"
"60",0.0504499718818109,0.00516385842992802,15.5540540540541,"pka2","+Base"
"61",0.0531251086855375,0.00393868683774043,15.7837837837838,"pka2","+Base"
"62",0.0592381233166405,0.00514076171541541,16.0135135135135,"pka2","+Base"
"63",0.0493747365045001,0.00816420791748775,16.2432432432432,"pka2","+Base"
"64",0.0679329736390866,0.0136043561469234,16.472972972973,"pka2","+Base"
"65",0.0690042196696386,0.0157015431900302,16.7027027027027,"pka2","+Base"
"66",0.0567506233909391,0.015006775870554,16.9324324324324,"pka2","+Base"
"67",0.0618673502179272,0.0212269929558449,17.1621621621622,"pka2","+Base"
"68",0.0678828806776069,0.022910857599288,17.3918918918919,"pka2","+Base"
"69",0.0690803130275745,0.0250924953108876,17.6216216216216,"pka2","+Base"
"70",0.0541725085179814,0.0213061809901173,17.8513513513514,"pka2","+Base"
"71",0.0650653447575135,0.0239719152618718,18.0810810810811,"pka2","+Base"
