"","pka1","pka2","logA","Na.A","p.pka1","p.pka2","p.logA","p.Na.A","s.pka1","s.pka2","s.logA","s.Na.A","pa.pka1","pa.pka2","pa.logA","pa.Na.A","sa.pka1","sa.pka2","sa.logA","sa.Na.A","pb.pka1","pb.pka2","pb.logA","pb.Na.A","sb.pka1","sb.pka2","sb.logA","sb.Na.A","sd.pka1","sd.pka2","sd.logA","sd.Na.A","l.pka1","h.pka1","l.pka2","h.pka2","l.logA","h.logA","l.Na.A","h.Na.A","region"
"114",5.05102040816327,6.51020408163265,-1.33673469387755,-6.29387755102041,0.173746604893502,0.00124657104633526,0.274931920351721,0.237722102679524,0.28671087778945,0.00507591042192036,0.253035363872294,0.248165905639607,0.165775966988325,0.00173959647753048,0.160666980028002,0.234733394564453,0.0284466860923959,0.00279415479918762,0.0267832353306276,0.0215245965330969,0.181717242798679,0.000753545615140043,0.38919686067544,0.240710810794595,0.0498200514432928,0.00109793142135463,0.0213944294829213,0.0196790893275577,0.0322178103229931,0.0044258317245228,0.0740127436596606,0.0121716310414135,0,0.460457482682952,0,0.00632248146825562,0.0218965564794264,0.527967284224015,0,0.485888008319131,"Minimum Energy"
"115",5.28571428571429,6.85714285714286,-1.28571428571429,-6.08571428571429,0.168757743933851,0.0015061143640728,0.283111676480491,0.234539397189833,0.283568167783928,0.00725836326456727,0.257953559199659,0.247387566940893,0.151221763472,0.00240447149156786,0.172908591658297,0.229654042667468,0.0205599576798488,0.00374254822183651,0.0289618991233252,0.022728917348349,0.186293724395703,0.000607757236577746,0.393314761302686,0.239424751712198,0.0445550370216389,0.000784884620525176,0.0192458655592362,0.0208917723685174,0.034356055676652,0.00645843831139065,0.0722093000129303,0.0123665754643347,0,0.452325911717779,0,0.00876447762864007,0.0251581172808329,0.54106523568015,0,0.481926964130725,"Minimum Energy"
"116",5.52040816326531,7.20408163265306,-1.23469387755102,-5.87755102040816,0.208429876289688,0.00459179360849931,0.275190609184696,0.257246816591098,0.298713021973906,0.0196013524614483,0.262659260079514,0.258193426939424,0.190943119617964,0.00643338351451383,0.177452845789574,0.253253275405002,0.0255915336142454,0.0134001688441862,0.0439162609161741,0.0275430911899907,0.225916632961413,0.00275020370248478,0.372928372579817,0.261240357777194,0.057760355658003,0.0024070135729777,0.0137851101644688,0.0261038237811126,0.0301737254034584,0.0176202714734764,0.0710824818202221,0.0132269870676213,0,0.507142898263594,0,0.0241931460699476,0.0125313491051816,0.53784986926421,0,0.515440243530522,"Minimum Energy"
"117",5.75510204081633,7.55102040816327,-1.18367346938776,-5.66938775510204,0.229322615289216,0.0179587383322117,0.284726215833368,0.259563542409168,0.30397723845468,0.053165132037187,0.265193905678257,0.258573782451563,0.206619466836519,0.0157436002150232,0.208542134450506,0.254356362421217,0.0322237936777141,0.0257512550455056,0.0482718850303499,0.0327592186874537,0.252025763741914,0.0201738764494003,0.36091029721623,0.264770722397119,0.048946912897017,0.0264044186529039,0.0115513142816926,0.0188554449847815,0.0302342584728722,0.0417723903189703,0.0580487508568419,0.0195847221929379,0,0.533299853743896,0,0.0711238703693987,0.0195323101551111,0.549920121511626,0.000989759957604641,0.518137324860731,"Minimum Energy"
"118",5.98979591836735,7.89795918367347,-1.13265306122449,-5.46122448979592,0.252389947698759,0.0602386985799177,0.274235346786873,0.250127622041528,0.307741659525524,0.129808620309048,0.271711604217532,0.260739928153223,0.223813200354793,0.0625701906873011,0.210076108392281,0.248700066103044,0.0302837536845203,0.0431467518590508,0.0475495102372459,0.022134353415442,0.280966695042725,0.0579072064725343,0.338394585181464,0.251555177980011,0.0511564280385382,0.0682263056830884,0.0146602988628103,0.0203523660878793,0.0264852664602927,0.0756585069992649,0.0498928798006849,0.0156371625015306,0,0.560131607224283,0,0.190047318888966,0.00252374256934068,0.545946951004404,0,0.510867550194751,"Minimum Energy"
"119",6.22448979591837,8.24489795918367,-1.08163265306122,-5.2530612244898,0.265656729374328,0.150054932811144,0.283690603058001,0.252117081021288,0.305183477519609,0.221455627721529,0.264413140619124,0.259684159090277,0.234439054735887,0.177956774349996,0.223565858805227,0.250190424835251,0.0308468531116516,0.0805193275914136,0.0392456139648572,0.0233822549118815,0.296874404012769,0.122153091272291,0.343815347310776,0.254043737207325,0.0463930265186156,0.109773793892315,0.0172621933287193,0.0249422334879014,0.0235108375849553,0.0934088170861525,0.045172557683999,0.0165060553483761,0,0.570840206893937,0,0.371510560532672,0.019277462438878,0.548103743677125,0,0.511801240111565,"Minimum Energy"
"120",6.45918367346939,8.59183673469388,-1.03061224489796,-5.04489795918367,0.279217631620188,0.236069387759351,0.279749107214294,0.255448055316514,0.306341415121337,0.263675506356572,0.254703486147762,0.260240457179063,0.241837506837892,0.26080699670558,0.215793699021363,0.249842178711715,0.017301916922827,0.0713594491606878,0.0137703484291494,0.0131449999823526,0.316597756402484,0.211331778813121,0.343704515407225,0.261053931921312,0.0426828870894391,0.130763709959038,0.0212935486273131,0.0190752685468856,0.0258055623938661,0.060896716353461,0.0426506134076801,0.0143438699202991,0,0.585559046741525,0,0.499744894115923,0.0250456210665316,0.534452593362056,0,0.515688512495577,"Minimum Energy"
"121",6.69387755102041,8.93877551020408,-0.979591836734694,-4.83673469387755,0.301700080410312,0.311710777243319,0.27815535693322,0.26631767572115,0.306974682166649,0.284189390975715,0.264110168328536,0.262419315869933,0.256236257565846,0.298570519979657,0.227271592012003,0.258214858991072,0.0267320919568616,0.0674854085178554,0.0363969994117173,0.0180360118498777,0.347163903254778,0.324851034506981,0.329039121854436,0.274420492451227,0.0385984995772068,0.140728537282669,0.0293169827491784,0.0172220820764976,0.030756454644036,0.027126168763141,0.0496812970582239,0.0175043573902069,0,0.608674762576962,0.027521386267604,0.595900168219033,0.0140451886046834,0.542265525261756,0.00389835985121695,0.528736991591082,"Minimum Energy"
"122",6.92857142857143,9.28571428571428,-0.928571428571429,-4.62857142857143,0.304318930878565,0.382302729231956,0.284749598061159,0.259153713931932,0.295752209213439,0.299711684192321,0.262462842036026,0.263162321804384,0.259630565517776,0.327963953633335,0.236491680780248,0.251134379951236,0.0284242248748506,0.0767173581375759,0.0211803762512001,0.0147232510064331,0.349007296239354,0.436641504830578,0.333007515342071,0.267173047912628,0.0482530289300363,0.119607242972335,0.0318046952356554,0.0212637311041743,0.0238896721896348,0.0224918250124553,0.039646500467562,0.0188216512343868,0.00856672166512634,0.600071140092004,0.082591045039635,0.682014413424277,0.0222867560251338,0.547212440097185,0,0.522316035736317,"Minimum Energy"
"123",7.16326530612245,9.63265306122449,-0.877551020408163,-4.42040816326531,0.322322016106565,0.414620652665412,0.289629057767685,0.261630248931584,0.294607324011989,0.30239055253264,0.266360153217329,0.266561719456385,0.271511959809329,0.336652883590816,0.259865602567281,0.252496483182401,0.027520511980513,0.0647337294951919,0.0311000585285895,0.0168095272946669,0.373132072403802,0.492588421740008,0.319392512968089,0.270764014680767,0.0385898066315633,0.096401658363357,0.0375951435336718,0.0238651036990399,0.0247254547185569,0.0324165298703784,0.0283707405810057,0.0182700138456487,0.0277146920945767,0.616929340118554,0.112230100132772,0.717011205198052,0.0232689045503559,0.555989210985014,0,0.52819196838797,"Minimum Energy"
