"","rng","area","var","sd","rank","uncert","region"
"1",0.4207623550349,10.3639307227245,"pka1",1.45741210626185,0.0405987232346425,0.00570913414262844,"Full Viable Region"
"2",0.214245187371455,13.1525167156066,"pka2",1.884605426421,0.0162892921563243,0.00233406952100193,"Full Viable Region"
"3",0.135552306992681,6.25385756728443,"logA",2.04649475058541,0.0216749910809914,0.00709286308314433,"Full Viable Region"
"4",0.0800941214367905,6.65194337776667,"Na.A",1.83164961113873,0.0120407100433981,0.00331547648804985,"Full Viable Region"
"5",0.0909473388499928,0.283397980235836,"Base",0.0535860355007319,0.0128366954167152,0.00242721425092642,"Full Viable Region"
"6",0.0259947973259679,1.96231576217471,"pka1",1.18592928615725,0.0132470002162952,0.00800584993152453,"Maximum Flux"
"7",0.0211520800714364,2.29167454991057,"pka2",1.26283813588137,0.00922996682590109,0.00508621702026699,"Maximum Flux"
"8",0.0511606966871553,1.26573780271955,"logA",0.797081732766031,0.0404196639914144,0.025453751750856,"Maximum Flux"
"9",0.0175995460603654,1.60214944379665,"Na.A",0.871426093687598,0.0109849590676506,0.00597483587233696,"Maximum Flux"
"10",0.00563942813991994,0.0682636909797387,"Base",0.036396659957544,0.00330449646597268,0.00176188296408719,"Maximum Flux"
"11",0.303067878992321,8.36847955564451,"pka1",1.35327493956041,0.0362154053167165,0.00585642829324695,"Minimum Energy"
"12",0.168131189938291,10.2758728523212,"pka2",1.48589470134683,0.0163617429248663,0.00236591357894879,"Minimum Energy"
"13",0.110780796202089,5.31565082582711,"logA",1.98978995930627,0.0208404953282182,0.0078011535576371,"Minimum Energy"
"14",0.0633363519419451,5.66678049763072,"Na.A",1.71168686623004,0.0111767787667841,0.00337601666940546,"Minimum Energy"
"15",0.0654050843438921,0.222908315056792,"Base",0.0614239114069083,0.0117366791503006,0.00323412224508402,"Minimum Energy"
