"","ener","flux","p.acpt","p.ener","p.flux","p.capt"
"Min",4.33200161444226,-0.00212685438619837,7.45425535275264e-10,2.5668554805912e-10,1.36676793289626e-14,0.00496208012263072
"Max",8525.61851353558,0.00267191422308337,0.658895974870759,0.595215415737465,0.506485762415704,0.999675170974123
"Mean",148.850516539152,0.000367491000076106,0.232595780518892,0.184263033404151,0.0156805806028243,0.703945119861098
"SD",236.468410194301,0.000664104906954789,0.174292863822084,0.14162829404716,0.0587926066270319,0.283812256857487
"Median",81.6017148592213,0.000306022177118684,0.241720166344518,0.190086616756825,0.00034587253824522,0.815982148190629
