"","typ","p","s","sd","l","h","region"
"1",-1,0.130996190286355,0.129014248710394,0.0172966619753396,0.00198194157596154,0.260010438996749,"Full Viable Region"
"2",1,0.221943529136348,0.154383731525442,0.0362893735253923,0.0675597976109056,0.376327260661791,"Full Viable Region"
"3",-1,0.0251352902704171,0.03161338449952,0.0185914516885708,0,0.0567486747699371,"Maximum Flux"
"4",1,0.0194958621304972,0.0366503064802187,0.0178052082689733,0,0.0561461686107158,"Maximum Flux"
"5",-1,0.0981617042791316,0.099006337757692,0.0223663417799801,0,0.197168042036824,"Minimum Energy"
"6",1,0.163566788623024,0.1239019772991,0.0390575696269282,0.0396648113239232,0.287468765922124,"Minimum Energy"
