"","group","probs","E01","E02","type","str"
"97","OCH2CH3",0.778432757575118,-0.305,0.238,"Donating",6
"98","OCH2CH3",0.782742439399028,-0.285,-0.19,"Donating",6
"99","OCH2CH3",0.775197621289625,-0.29,0.048,"Donating",6
"100","OCH2CH3",0.778432757575118,-0.305,0.238,"Donating",6
"101","OCH2CH3",0.803596290108289,-0.173,-0.167,"Donating",6
"102","OCH2CH3",0.778432757575118,-0.305,0.238,"Donating",6
"103","F",0.704861413795833,0.231,0.153,"Withdrawing",-1
"104","F",0.0941285594081007,0.374,0.282,"Withdrawing",-1
"105","F",0.104398274980461,0.344,0.27,"Withdrawing",-1
"106","F",0.0945932724907745,0.382,0.286,"Withdrawing",-1
"107","F",0.100237796679983,0.499,0.405,"Withdrawing",-1
"108","F",0.155644654444484,0.638,0.531,"Withdrawing",-1
"109","F",0.0941285594081007,0.374,0.282,"Withdrawing",-1
"110","F",0.100237796679983,0.499,0.405,"Withdrawing",-1
"111","F",0.155644654444484,0.638,0.531,"Withdrawing",-1
"112","F",0.104398274980461,0.344,0.27,"Withdrawing",-1
"113","F",0.100237796679983,0.499,0.405,"Withdrawing",-1
"114","F",0.155644654444484,0.638,0.531,"Withdrawing",-1
"115","F",0.0945932724907745,0.382,0.286,"Withdrawing",-1
"116","F",0.155644654444484,0.638,0.531,"Withdrawing",-1
"117","Cl",0.677758746011822,0.242,0.195,"Withdrawing",-1
"118","Cl",0.0956025588490203,0.342,0.32,"Withdrawing",-1
"119","Cl",0.122674059813021,0.372,0.356,"Withdrawing",-1
"120","Cl",0.0921752825603897,0.389,0.35,"Withdrawing",-1
"121","Cl",0.104916929408262,0.472,0.472,"Withdrawing",-1
"122","Cl",0.190779207258243,0.564,0.588,"Withdrawing",-1
"123","Cl",0.0956025588490203,0.342,0.32,"Withdrawing",-1
"124","Cl",0.104916929408262,0.472,0.472,"Withdrawing",-1
"125","Cl",0.190779207258243,0.564,0.588,"Withdrawing",-1
"126","Cl",0.122674059813021,0.372,0.356,"Withdrawing",-1
"127","Cl",0.104916929408262,0.472,0.472,"Withdrawing",-1
"128","Cl",0.190779207258243,0.564,0.588,"Withdrawing",-1
"129","Cl",0.446806000394603,1.096,1.079,"Withdrawing",-1
"130","Cl",0.0921752825603897,0.389,0.35,"Withdrawing",-1
"131","Cl",0.190779207258243,0.564,0.588,"Withdrawing",-1
