"","rng","area","var","sd","rank","uncert","region"
"1",0.371787506707589,9.7138111135694,"pka1",2.0552692133039,0.0382741132559426,0.008098119854478,"Full Viable Region"
"2",0.416268158365328,6.63374735701343,"pka2",1.55509449381037,0.0627500771378088,0.0147099812807937,"Full Viable Region"
"3",0.32705114135923,10.8204492525993,"logA",2.53656262751076,0.0302252830473434,0.00708550279143063,"Full Viable Region"
"4",0.292705326400331,11.1229636925064,"Na.A",2.22517689377219,0.0263154078797837,0.00526446360727898,"Full Viable Region"
"5",0.0230190840732566,0.494808464874208,"Base",0.0922153539527534,0.00186084804180613,0.000346798353320541,"Full Viable Region"
"6",0.0424608570388361,3.07691116967443,"pka1",0.790364216897741,0.0137998319409816,0.00354475406142725,"Maximum Flux"
"7",0.0543433942698525,2.90300158476337,"pka2",0.912533254215686,0.0187197260087897,0.00588438276523342,"Maximum Flux"
"8",0.173098896498975,1.48701785060069,"logA",0.405264300698866,0.116406737436979,0.0317249016378499,"Maximum Flux"
"9",0.0238668054771528,2.86505751370726,"Na.A",0.856156156937142,0.00833030588843929,0.00248931919915579,"Maximum Flux"
"10",0.00231022170071292,0.155687645262086,"Base",0.0274849414784911,0.00059355299434939,0.000104785253104788,"Maximum Flux"
"11",0.287787863524913,8.12205248190801,"pka1",1.77947503869953,0.0354328987858629,0.00776305731570426,"Minimum Energy"
"12",0.353196322941647,5.50373741173021,"pka2",1.36936579587897,0.0641739052064645,0.015966886536123,"Minimum Energy"
"13",0.253404722734293,8.90968623403935,"logA",2.21516877451618,0.0284414867233105,0.00707125836256646,"Minimum Energy"
"14",0.239729467897557,9.13686552081617,"Na.A",1.88584649426882,0.0262376049369875,0.00541543433858138,"Minimum Energy"
"15",0.0282769189617722,0.410202327513053,"Base",0.0707256145295325,0.00275736309281399,0.000475414657938809,"Minimum Energy"
