"","pka1","pka2","logA","Na.A","p.pka1","p.pka2","p.logA","p.Na.A","s.pka1","s.pka2","s.logA","s.Na.A","sd.pka1","sd.pka2","sd.logA","sd.Na.A","l.pka1","h.pka1","l.pka2","h.pka2","l.logA","h.logA","l.Na.A","h.Na.A","region"
"1",2,2,-2,-9,0.0199916737658057,0.0504537375158341,0.00584171845425157,0.00263881937240467,0.0262711918807029,0.0330714373720913,0.0219029551235806,0.0131164727883693,0.0123686262233933,0.00986812712815532,0.0175142258154104,0.0103469926629552,0,0.0462628656465086,0.0173823001437428,0.0835251748879253,0,0.0277446735778322,0,0.0157552921607739,"Full Viable Region"
"2",2.23469387755102,2.3469387755102,-1.94897959183673,-8.79183673469388,0.0121487775371292,0.0349622907323752,0.00665168218080606,0.0111356846010007,0.0270239123530583,0.0347524088973573,0.0219200287660815,0.0272392886472616,0.01447099994243,0.0154368108516081,0.0178007904251448,0.0158093079534201,0,0.0391726898901874,0.000209881835017856,0.0697146996297325,0,0.0285717109468875,0,0.0383749732482623,"Full Viable Region"
"3",2.46938775510204,2.69387755102041,-1.89795918367347,-8.58367346938775,0.0113578638137239,0.0260624824013141,0.0100933870517246,0.0867675196258393,0.0257322079563119,0.0278365867356254,0.022121723303605,0.165354780889102,0.0165120211034398,0.0124474377383793,0.0152903669251343,0.0645640218173084,0,0.0370900717700357,0,0.0538990691369395,0,0.0322151103553295,0,0.252122300514941,"Full Viable Region"
"4",2.70408163265306,3.04081632653061,-1.8469387755102,-8.37551020408163,0.0157292217846652,0.0221154855121532,0.01810052018894,0.141853412601936,0.0276735947701863,0.024602887407591,0.0227089218142543,0.20083146394839,0.0164825563166047,0.0122731507479511,0.0118268110699076,0.0650273147398747,0,0.0434028165548514,0,0.0467183729197443,0,0.0408094420031943,0,0.342684876550326,"Full Viable Region"
"5",2.93877551020408,3.38775510204082,-1.79591836734694,-8.16734693877551,0.0180687366082223,0.0186467409299747,0.0235962590301978,0.192010864033187,0.0417930726469862,0.0221592591516648,0.035648309125294,0.225203844859568,0.0165543295102146,0.0125148360119114,0.0167993997767288,0.0608283548821918,0,0.0598618092552085,0,0.0408060000816395,0,0.0592445681554918,0,0.417214708892755,"Full Viable Region"
"6",3.1734693877551,3.73469387755102,-1.74489795918367,-7.95918367346939,0.0176377666485204,0.0140360507946496,0.0645327585624676,0.212132781857882,0.0626017168193254,0.0258726976728018,0.0929557268444426,0.231780419249491,0.0178372388067515,0.0180692096360501,0.0381082815572043,0.0481034598503374,0,0.0802394834678458,0,0.0399087484674513,0,0.15748848540691,0,0.443913201107372,"Full Viable Region"
"7",3.40816326530612,4.08163265306122,-1.69387755102041,-7.75102040816327,0.0249913665889893,0.0116181503333998,0.18179977250246,0.227079349349153,0.084641578300807,0.0232849062406403,0.204652590794526,0.237038036667479,0.0174217167291333,0.0161541033489213,0.0610708410582197,0.045196794504636,0,0.109632944889796,0,0.0349030565740401,0,0.386452363296986,0,0.464117386016632,"Full Viable Region"
"8",3.64285714285714,4.42857142857143,-1.64285714285714,-7.54285714285714,0.0470958746593355,0.0132990400655831,0.26884778315435,0.250072488364196,0.128834950031219,0.0191524066880796,0.260802378741589,0.248135340820997,0.028657705309941,0.0133845920317991,0.0778893695580856,0.0569689429017961,0,0.175930824690555,0,0.0324514467536627,0.00804540441276075,0.529650161895938,0.00193714754319951,0.498207829185193,"Full Viable Region"
"9",3.87755102040816,4.77551020408163,-1.59183673469388,-7.33469387755102,0.0634394180146406,0.00987543980145887,0.262999445373514,0.270534341646162,0.166404652265589,0.0252266099543688,0.23835618424292,0.239215469107322,0.0433363961574692,0.0185905398845658,0.0591320700671656,0.0416919626875503,0,0.22984407028023,0,0.0351020497558276,0.0246432611305936,0.501355629616434,0.0313188725388401,0.509749810753483,"Full Viable Region"
"10",4.11224489795918,5.12244897959184,-1.54081632653061,-7.1265306122449,0.0782605777803617,0.00983644081777022,0.261357394356105,0.278284250520232,0.184344028402808,0.0227823739845509,0.221862793452513,0.247102624501454,0.0471589228136881,0.0160410962345596,0.0628019590094877,0.0468049656637329,0,0.26260460618317,0,0.0326188148023211,0.0394946009035925,0.483220187808618,0.031181626018778,0.525386875021687,"Full Viable Region"
"11",4.3469387755102,5.46938775510204,-1.48979591836735,-6.91836734693878,0.0977041971102136,0.00892891877262711,0.262003393938553,0.274211214635108,0.211757713716749,0.0212764099971769,0.22776316815566,0.253468971362641,0.0554140632840331,0.0154387825602643,0.0608556763265952,0.052593324423083,0,0.309461910826963,0,0.030205328769804,0.0342402257828926,0.489766562094213,0.0207422432724669,0.52768018599775,"Full Viable Region"
"12",4.58163265306122,5.81632653061224,-1.43877551020408,-6.71020408163265,0.116540000119509,0.00875312894148597,0.267270827205593,0.289228522577871,0.227175553607584,0.0251399540441802,0.235747284677914,0.251240219111472,0.0556426602625503,0.0185236496370271,0.0714508899594136,0.046005715378153,0,0.343715553727093,0,0.0338930829856662,0.0315235425276785,0.503018111883507,0.0379883034663984,0.540468741689343,"Full Viable Region"
"13",4.81632653061224,6.16326530612245,-1.38775510204082,-6.50204081632653,0.145473571161794,0.00944595766187901,0.294797859739275,0.28957021746054,0.248345417910312,0.0283208421888542,0.248336979212968,0.254994201611446,0.060777961128408,0.0227263621883693,0.0452836026624839,0.0469748703144304,0,0.393818989072105,0,0.0377667998507333,0.0464608805263068,0.543134838952243,0.0345760158490938,0.544564419071986,"Full Viable Region"
