"","QuinoneCode","R2","R3","R5","R6","E0.1","E0.2","Pka.2","Pka.1","p.accept"
"73",74,"CH2CH3","H","H","CH2CH3",-0.142,-0.143,11.73,10.19,0.79822226324777
"74",75,"OH","H","H","OH",-0.034,-0.06,10.68,8.43,0.760612860332571
"75",76,"OCH2CH3","H","H","OCH2CH3",-0.173,-0.167,11.66,8.91,0.803596290108289
"76",77,"F","H","H","F",0.382,0.286,7.34,4.21,0.0945932724907745
"77",78,"Cl","H","H","Cl",0.389,0.35,7.24,3.34,0.0921752825603897
"78",79,"Br","H","H","Br",0.387,0.358,8.25,3.97,0.163383122969148
"79",80,"SH","H","H","SH",0.135,0.149,8.77,4.94,0.525368284112916
"80",81,"SiH3","H","H","SiH3",0.203,0.148,10.1,4.77,0.747786729673931
"81",82,"CHO","H","H","CHO",0.634,0.673,7.67,4.76,0.10363046048186
"82",83,"COOCH3","H","H","COOCH3",0.518,0.437,8.86,6.76,0.593124284911916
"83",84,"CF3","H","H","CF3",0.62,0.496,7.67,0.4,0.189419142377109
"84",85,"CN","H","H","CN",0.815,0.734,6.61,-3.25,0.324150241750673
"85",86,"COOH","H","H","COOH",0.988,-0.106,7.75,6.01,0.122764717649892
"86",87,"SO3-","H","H","SO3-",0.302,0.269,9.73,8,0.735012936445574
"87",88,"NO2","H","H","NO2",0.944,1.081,3.03,-1.87,0.281103324115644
"88",89,"COCH3","H","H","COCH3",0.375,0.513,9.33,6.95,0.72159291292367
"89",90,"C6H5","C6H5","C6H5","H",-0.024,0.014,11.12,8.93,0.772023813014702
"90",91,"CH3","CH3","CH3","H",-0.211,-0.192,12.18,11.04,0.801751063832159
"91",93,"OCH3","OCH3","OCH3","H",-0.213,-0.01,10.97,8.19,0.776641170759604
"92",94,"N(CH3)2","N(CH3)2","N(CH3)2","H",-0.699,-0.262,15.34,13.41,0.790881603586645
"93",96,"CH2CH3","CH2CH3","CH2CH3","H",-0.223,-0.205,12.45,11.38,0.778398283291552
"94",97,"OH","OH","OH","H",-0.079,-0.03,9.78,7.06,0.719802669054054
"95",98,"OCH2CH3","OCH2CH3","OCH2CH3","H",-0.29,0.048,11.02,8.8,0.775197621289625
"96",99,"F","F","F","H",0.499,0.405,5.21,2.88,0.100237796679983
"97",100,"Cl","Cl","Cl","H",0.472,0.472,5.2,2.46,0.104916929408262
"98",101,"Br","Br","Br","H",0.462,0.477,5.86,2.61,0.101342281801164
"99",102,"SH","SH","SH","H",0.117,0.217,8.12,2.82,0.143104378691954
"100",103,"SiH3","SiH3","SiH3","H",0.233,0.272,7.51,4.61,0.101523856009769
"101",104,"CHO","CHO","CHO","H",0.796,0.978,6.25,3.2,0.0916573969344124
"102",105,"COOCH3","COOCH3","COOCH3","H",0.586,0.559,9.35,6.91,0.715122569945296
"103",106,"CF3","CF3","CF3","H",0.845,0.748,4.12,-1.47,0.259501733539953
"104",107,"CN","CN","CN","H",1.178,1.122,-0.55,-5.62,0.439256571067439
"105",108,"COOH","COOH","COOH","H",1.149,-0.065,8.42,5.92,0.252289948708804
"106",109,"SO3-","SO3-","SO3-","H",0.256,0.353,12.19,8.01,0.798599460730254
"107",110,"NO2","NO2","NO2","H",1.261,1.51,-3.92,-4.13,0.450681237783471
"108",111,"COCH3","COCH3","COCH3","H",0.557,0.518,11.08,1.13,0.710473430098058
"109",112,"C6H5","C6H5","C6H5","C6H5",-0.084,0.009,10.74,9.48,0.765196123505809
"110",113,"CH3","CH3","CH3","CH3",-0.084,0.009,10.74,9.48,0.768637461333277
"111",115,"OCH3","OCH3","OCH3","OCH3",-0.229,0.111,9.42,8.27,0.701581106651236
"112",119,"OH","OH","OH","OH",-0.077,-0.039,8.14,6.62,0.163624462471155
"113",120,"OCH2CH3","OCH2CH3","OCH2CH3","OCH2CH3",-0.305,0.238,10.93,8.01,0.778432757575118
"114",121,"F","F","F","F",0.638,0.531,2.9,2.07,0.155644654444484
"115",122,"Cl","Cl","Cl","Cl",0.564,0.588,2.93,0.73,0.190779207258243
"116",123,"Br","Br","Br","Br",0.539,0.581,3.37,2.03,0.122849407559956
"117",124,"SH","SH","SH","SH",0.111,0.279,4.96,3.76,0.0968327356953748
"118",125,"SiH3","SiH3","SiH3","SiH3",0.247,0.322,5.89,3.35,0.0972290063236152
"119",126,"CHO","CHO","CHO","CHO",0.873,1.005,5.4,4.14,0.100411030838535
"120",127,"COOCH3","COOCH3","COOCH3","COOCH3",0.744,0.68,6.66,4.84,0.0972491279708882
"121",128,"CF3","CF3","CF3","CF3",0.972,0.902,0,-3.53,0.429890207077199
"122",129,"CN","CN","CN","CN",1.48,1.43,-6.21,-8.33,0.458713625668075
"123",130,"COOH","COOH","COOH","COOH",1.278,0.068,5.82,4.56,0.103655512065788
"124",131,"SO3-","SO3-","SO3-","SO3-",0.084,0.348,11.15,10.14,0.807738217342272
"125",132,"NO2","NO2","NO2","NO2",1.613,1.662,-6.64,-7.09,0.45854155131448
"126",133,"COCH3","COCH3","COCH3","COCH3",0.663,0.657,3.66,3.27,0.11067504808986
"127",134,"CN","CN","Cl","Cl",1.096,1.079,-2.05,-4.82,0.446806000394603
