"","typ","p","s","sd","l","h","region"
"1",-1,0.208036404564813,0.203321082292448,0.0349199976805691,0.0047153222723644,0.411357486857261,"Full Viable Region"
"2",1,0.247411714075437,0.237360668169114,0.0719153259934993,0.0100510459063221,0.484772382244551,"Full Viable Region"
"3",-1,0.0143243756106498,0.0747943997517296,0.0228818559088822,0,0.0891187753623794,"Maximum Flux"
"4",1,0.0171398252383716,0.0795060347728498,0.0199381013679113,0,0.0966458600112215,"Maximum Flux"
"5",-1,0.167366790976863,0.173078841367261,0.0403076752445346,0,0.340445632344124,"Minimum Energy"
"6",1,0.194723696686001,0.200537017826003,0.06693753716917,0,0.395260714512004,"Minimum Energy"
