"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"118",9.47231015094257,0.332940701637068,-2,0.7,120.694172208597,-0.014544,66
"119",13.5,1.85274809954029,-2,-1.75130894519681,211.574509611696,-0.014517,67
"120",13.5,1.21235391592534,-2,0.7,122.223590618352,-0.014515,68
"121",12.3023245847337,0.855315013035876,-2,-3.97745143414009,214.827000706161,-0.014524,69
"122",10.4387770848114,3.56595818568116,-0.508654832816712,-5.70962434273632,30.8906335247907,0.00089506,70
"123",7.96849996625633,2.80916168353339,-0.244444410332765,-3.15066854098422,16.8698944804456,0.00099288,71
"124",9.93552788565915,2.53621738562501,-0.948029456166923,-4.46210019481613,26.1718136365948,0.00061702,72
"125",7.55757926457097,2.03864598829744,-0.982230790386418,-6.49778501968311,13.6986610329605,0.00057588,73
"126",10.9209766523426,1.27186591810737,-2,0.7,122.216738882805,-0.014515,74
"127",7.51505762003906,2.12696816851537,-2,0.7,117.852023002519,-0.014609,75
"128",12.2987996270413,2.71961411882039,-2,0.7,122.223573778276,-0.014515,76
"129",12.6488251163795,4.64363188360779,-2,-0.235027965050471,165.721712909043,-0.014497,77
"130",13.5,3.96887265045738,-2,-7,214.847587451522,-0.014524,78
"131",10.9205024691655,2.66362984651994,-2,-3.76554695564075,214.813932085683,-0.014524,79
"132",9.67550511837573,3.22051518855825,-1.99999989359975,0.7,122.210730878202,-0.014516,80
"133",12.1614489255541,0,-2,-2.04134214881536,213.130943442366,-0.01452,81
"134",10.0660101864808,2.89218646654084,-0.756335794529589,-5.18816063455468,27.7864100462983,0.00068946,82
"135",8.05779416478381,0.181914646437238,-2,-6.3753021823863,191.010013124193,-0.014815,83
"136",9.73152962761628,1.73510912134541,-0.65903798528888,-4.03219385511367,23.5375892321247,0.00070899,84
"137",13.5,4.77362993348063,-0.110152073378453,0.7,15.846140615379,0.00011001,85
"138",7.80748386075421,5.15200425083902,-0.70981682867635,-1.10889776255963,21.0085281919621,0.00070504,86
"139",8.4077985982983,1.12924516441395,-2,0.7,119.030176990005,-0.014576,87
"140",13.5,1.72493363259174,-2,-5.71315027862956,214.847231327206,-0.014524,88
"141",10.3199042028688,1.8308740293549e-07,-1.14920848968687,-0.351267904218181,20.0157734880115,0.00052844,89
"142",13.5,3.44380172223692,-0.821584100137556,0.7,14.9336429311642,0.0003946,90
"143",13.5,4.2497682035644,-0.806703360401541,-0.223414375971803,28.8546894142817,0.00062688,91
"144",9.78041476429455,0,-2,-3.06364923748578,213.944773815184,-0.014532,92
"145",13.4999999329598,2.84559434322143,-0.839873363854667,-0.182365133344623,27.9263597856518,0.00060594,93
"146",13.5,1.91651656114652,-0.785097133978199,0.7,14.9412325190128,0.00038853,94
"147",9.10699503190473,2.79908767891774,-1.00120147326636,-3.87427259561727,22.8238058014053,0.00060057,95
"148",12.1577787579621,0,-2,0.7,122.216850723953,-0.014515,96
"149",13.5,0.821251763555701,-0.0337499261995277,0.7,16.0240610007213,4.7585e-05,97
"150",10.8262572659927,2.72124678577034,-1.99999993270975,-1.70001482052451,211.183052503388,-0.014516,98
"151",11.8369884449371,5.49999537149593,-2,-2.27796945103836,213.844701006565,-0.014521,99
"152",13.5,3.70137374254066,-0.938674359093809,-2.16530707350355,34.68259630334,0.00063194,100
