"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"1",2,2.75,-0.75,-3.15,414.325483723485,-0.04489,0
"2",13.5,2.75,-0.75,-3.15,36.5759588391821,0.00073139,0
"3",7.75,0,-0.75,-3.15,23.6057072739459,-0.0014918,0
"4",7.75,5.5,-0.75,-3.15,21.970764218626,0.0007042,0
"5",7.75,2.75,-2,-3.15,213.782293898205,-0.014534,0
"6",7.75,2.75,0.5,-3.15,16.3385293141826,0.0022249,0
"7",7.75,2.75,-0.75,-7,15.8574317208049,0.00067345,0
"8",7.75,2.75,-0.75,0.7,9.728901208372,0.00031514,0
"9",2,0,-2,-7,21.1200759368146,-0.034131,0
"10",13.5,0,-2,-7,214.847447944871,-0.014524,0
"11",2,5.5,-2,-7,83.9814746696358,-0.017067,0
"12",13.5,5.5,-2,-7,214.847587466069,-0.014524,0
"13",2,0,0.5,-7,7516.55783353728,-0.12191,0
"14",13.5,0,0.5,-7,40.632384817577,0.0018359,0
"15",2,5.5,0.5,-7,10246.8707089599,-0.036056,0
"16",13.5,5.5,0.5,-7,45.0304589872741,0.0030867,0
"17",2,0,-2,0.7,14.6263859683122,-0.053934,0
"18",13.5,0,-2,0.7,122.223303689917,-0.014515,0
"19",2,5.5,-2,0.7,25.4639722433976,-0.020953,0
"20",13.5,5.5,-2,0.7,122.223609363264,-0.014515,0
"21",2,0,0.5,0.7,180.2461666253,-27.885,0
"22",13.5,0,0.5,0.7,17.1901563754826,-0.00066338,0
"23",2,5.5,0.5,0.7,40.6734745519308,-2.7478,0
"24",13.5,5.5,0.5,0.7,17.1898732363331,-0.0006621,0
"25",5.77757297968492,5.03769879986066,-0.930072337388992,-4.84590432916302,12.8486528821993,0.00061756,0
"26",2.91663235484157,4.02712177974172,0.234880324103869,-6.72005386087112,3490.68696038306,-0.048192,0
"27",13.4835997184273,4.11896405939478,0.241745857172646,-6.51596115170978,43.1043880806403,0.0022703,0
"28",7.70583732088562,5.12961188342888,-0.0734388547716662,-0.956525596464052,20.7696731897998,0.0011845,0
"29",8.83915653196163,2.9452816991834,-0.417074722237885,-3.20176520119421,21.8766549305413,0.00085117,0
"30",12.6678504934534,4.50767914659809,0.0913259690860286,-6.99912229550537,40.1951229689379,0.001928,0
"31",6.7551531183999,3.33373010670766,-0.954951471532695,-6.73817566649523,12.7647313227309,0.00060542,0
"32",7.32363866339438,0.930684465682134,-0.317516794195399,-5.70477747255936,16.8202898384385,-0.00035285,0
"33",3.67460982559714,3.04322758980561,-1.25349718949292,-1.06987667335197,247.681349036027,-0.015949,0
"34",7.11503533786163,1.4339938116027,-0.576620887033641,-6.2886833401164,12.5714711443668,0.00029184,0
"35",10.5004687514156,0.684897314873524,-0.737810833845288,0.11681686048396,19.5902488375275,0.0005969,0
"36",6.13728711579461,0.052015176624991,-1.63468550588004,-2.8126339409966,76.9234379105655,-0.023284,0
"37",9.63247163780034,0.246052091475576,-1.15571267192718,-1.05426446474157,19.036494267732,0.00053294,0
"38",9.98427739262115,1.51982609496918,-0.0184791365172714,-4.23500904077664,24.490880708371,0.001241,0
"39",7.90584889485035,5.15536402969155,-1.02790641703177,-2.79202929583844,21.5417352383427,0.0006077,0
"40",9.51491877622902,3.36301377543714,-0.902613460668363,-5.0226547755301,25.915528258321,0.00063714,0
"41",10.4681713860482,3.71687104168814,0.391209846246056,-5.90955213978887,33.6352930163441,0.0021578,0
"42",4.89697635942139,3.16976766544394,0.411507440265268,-1.98642404114362,3147.8190456635,-0.010193,0
"43",2.04867168271448,5.18770853895694,-1.80540970689617,-2.82633102759719,161.448143678043,-0.013427,0
"44",2.34147747396491,1.40370883815922,-0.257718750392087,-5.18818457634188,1315.04850753377,-0.064848,0
"45",4.96101047762204,4.16813096217811,-1.3459608667763,-3.15937445654999,9.57490910161672,0.00041201,0
"46",10.2152962497203,0.217857779352926,-0.120586461736821,-4.54254634014796,21.9689965710603,0.0009844,0
"47",10.5029724771157,2.64503188000526,-1.21094997902401,-5.57122805544641,27.3395388114392,0.00056968,0
"48",5.68053313624114,2.49574965878855,-0.771974805858918,-0.00336798347998357,1039.28582800793,-0.0038681,0
"49",8.20684450224508,2.08216670271941,-1.25313729909249,-6.17233008476906,17.5393954491391,0.00055173,0
"50",11.1494101808639,0.45577781368047,-1.3288464343641,0.29161936591845,18.5261321887049,0.00050179,0
"51",12.1055304493057,0.841448643710464,-1.14811943541281,-5.1010251368396,30.1069221469235,0.00056215,0
"52",7.79329164722003,0.0972223373828456,-1.13944048574194,-6.566623062687,17.091713293394,-0.00095517,0
"53",13.5,5.5,-2,-2.74169886783928,214.500029532164,-0.014523,1
"54",13.5,3.32102651385802,-2,-1.04743839874494,200.731678720487,-0.014505,2
"55",13.5,3.48599037934719,-2,-4.79954822313245,214.844551570739,-0.014524,3
"56",13.5,1.13160153899374,-2,-3.05195953664662,214.677093394086,-0.014524,4
"57",11.5129720757477,5.5,-2,-0.849121143137462,194.615607502242,-0.014501,5
"58",13.5,2.44995009580877,-2,0.7,122.223608279533,-0.014515,6
"59",13.5,2.50788763848611,-2,-7,214.847587033245,-0.014524,7
"60",11.6841244251424,3.70416602627328,-2,-2.94014156396474,214.627076845403,-0.014524,8
"61",10.1872740916016,5.5,-2,0.7,122.219979453668,-0.014515,9
"62",13.5,0,-2,-4.70033627693777,214.84362805936,-0.014524,10
"63",11.9482654517873,3.91676248609471,-2,0.7,122.223546853817,-0.014515,11
"64",13.5,5.5,-2,-4.82623591627007,214.844733696009,-0.014524,12
"65",13.5,0,-2,-1.45770189625042,208.667858585072,-0.014512,13
"66",11.5882299747617,1.69603269170066,-2,-1.03150886471066,200.301238269831,-0.014504,14
"67",11.7126899596959,1.79088179799031,-2,-4.66294575233027,214.84319927828,-0.014524,15
"68",10.1750390468417,5.5,-2,-2.58953735014568,214.352100361215,-0.014523,16
"69",13.5,2.82823361457216,-2,-2.7643931081504,214.51765427381,-0.014523,17
"70",10.2127015016043,0.652564162292367,-1.99999999978563,-0.254302174742638,166.720416283093,-0.014498,18
"71",9.96329273510589,3.54526592215848,-2,-0.684052745429709,188.218178134951,-0.014499,19
"72",13.5,5.5,-2,-1.04144184105245,200.570981396104,-0.014504,20
"73",11.53441688318,0,-2,-3.18535541676359,214.709111077732,-0.014524,21
"74",12.1404073605553,1.22815478927416,-2,0.7,122.223156964613,-0.014515,22
"75",8.10584973552822,2.97840002017352,-2,0.653418896047662,123.240801431184,-0.014526,23
"76",10.2813043394261,3.48697697934482,-2,-5.03352810950833,214.843423725026,-0.014524,24
"77",12.5079313634961,1.04648436279174,-2,-5.86816303940573,214.847210359997,-0.014524,25
"78",10.7583935769219,2.53141758527168,-2,0.7,122.222140239675,-0.014515,26
"79",10.0602557653817,1.98840029500229,-2,-2.80545357920664,214.539495836282,-0.014523,27
"80",7.8069009920171,0.096163667142625,-2,-2.99646325883707,168.547240586807,-0.01514,28
"81",13.5,1.41698639423261,-2,-0.560660475534306,182.693782582674,-0.014498,29
"82",10.7363447602271,0,-2,-1.49197324349596,209.02013839045,-0.014513,30
"83",13.5,4.01713909752509,-2,0.7,122.223609334847,-0.014515,31
"84",11.8413389460843,5.5,-2,-3.89603453749829,214.823085651665,-0.014524,32
"85",13.5,5.5,-0.552298845980462,0.7,15.0938731949694,0.00033367,33
"86",8.2479301124974,5.49999984664464,-2,-0.79763138998157,192.497192355234,-0.014504,34
"87",11.9134498162008,5.5,-2,0.7,122.223542880573,-0.014515,35
"88",10.3737776810577,0.357945954050072,-2,-4.69578642466949,214.760028718922,-0.014525,36
"89",12.554297543679,4.22225940772039,-2,-6.15767979217973,214.847461706752,-0.014524,37
"90",12.0380018169176,0,-2,-0.232089983061408,165.554889802767,-0.014497,38
"91",12.3872982223907,4.35398517258716,-1.99999999119611,-1.73859127555223,211.481494764401,-0.014516,39
"92",9.10751840813744,4.40606019628736,-1.99999999954308,0.7,122.179895846266,-0.014517,40
"93",13.5,1.98303269476829,-2,-4.34481679631784,214.83890108566,-0.014524,41
"94",9.13835722241532,0.330625816055865,-2,-1.29730235888962,204.703239116446,-0.014527,42
"95",7.94183662474326,5.5,-2,-3.1436400610893,214.207350261466,-0.01453,43
"96",7.70169781238928,5.5,-2,0.7,121.279789050819,-0.014547,44
"97",10.8536507058394,0,-2,0.7,122.087504795846,-0.014518,45
"98",12.3308469015779,2.13135513535072,-1.99883520994032,-2.09226469244109,215.755612428387,-0.014469,46
"99",13.3952037252946,4.24997317639733,-2,-3.71329579886494,214.810358655951,-0.014524,47
"100",9.23601319234094,3.40906707997294,-2,-3.2337059393984,214.70851789436,-0.014524,48
"101",9.48825472031776,1.7734058558759,-2,0.7,122.152187016508,-0.014517,49
"102",11.7999290966283,3.05589892047738,-2,-0.393053199605558,174.27031669215,-0.014497,50
"103",13.5,0.122915213743498,-0.443525342817938,0.7,15.2271986261357,0.00029595,51
"104",7.58349365719783,0.984324755196334,-1.1323358849038,-6.00966462829631,13.1296889528599,0.00020115,52
"105",10.6877729242733,4.31246935830878,-2,-1.64095026571205,210.678021718635,-0.014515,53
"106",11.8871450709262,0,-2,-5.20960441435188,214.840640817061,-0.014524,54
"107",10.2215508062043,1.01334371276045,-0.658612814981495,-4.39272291202023,24.1951997874678,0.00069808,55
"108",7.43695243994953,2.87251371813883,-1.4290422010245,-6.60429807995258,16.3797767972007,0.0005296,56
"109",9.50109503805225,2.39573216043092,-2,-5.48066153418707,214.827343209203,-0.014524,57
"110",5.36007410312894,4.37469947126306,-2,-3.24757747025748,174.68957881934,-0.014727,58
"111",8.94051772949122,2.52948695542588,-2,-1.3475737601235,207.000487222724,-0.014511,59
"112",13.5,0,-2,-3.01225822349524,214.660680009003,-0.014524,60
"113",13.5,4.86341942826845,-0.252135927374199,-6.83366143505132,40.0579847638314,0.0012477,61
"114",11.3151862092853,2.84769615342978,-2,-5.890330268066,214.847114710541,-0.014524,62
"115",10.6785863078216,4.19419323471584,-2,0.699999696000506,122.222436294697,-0.014515,63
"116",9.74217305450424,5.49999997274002,-2,-0.80611530963748,193.056757701879,-0.014501,64
"117",7.59920799797715,4.22844718936646,-2,-0.47418513191273,177.370193347758,-0.014512,65
